symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-01-19 19:00:00,1,SHORT,0.002212,0.001763,-20.2836,0.0,0,0,True,25.0,250.0,20.1836,50.46,0.25,1050.46,1050.46,0.0,50.46,1,100.0,5.05
BTC/USDT,2026-01-19 20:00:00,2,SHORT,0.001763,0.001425,-19.2192,0.0,0,0,True,25.0,262.61,19.1192,50.21,0.2626,1100.67,1100.67,0.0,100.67,2,100.0,10.07
BTC/USDT,2026-01-19 21:00:00,3,SHORT,0.001425,0.001327,-6.8192,0.0,0,0,True,25.0,275.17,6.7192,18.49,0.2752,1119.16,1119.16,0.0,119.16,3,100.0,11.92
BTC/USDT,2026-01-19 22:00:00,4,SHORT,0.001327,0.002011,51.5343,0.0,0,1,False,25.0,279.79,-51.6343,-144.47,0.2798,974.69,1119.16,-12.91,-25.31,4,75.0,-2.53
BTC/USDT,2026-01-19 23:00:00,5,SHORT,0.002011,0.001587,-21.0778,0.0,0,0,True,25.0,243.67,20.9778,51.12,0.2437,1025.81,1119.16,-8.34,25.81,5,80.0,2.58
BTC/USDT,2026-01-20 00:00:00,6,SHORT,0.001587,0.003137,97.6415,0.0,0,1,False,25.0,256.45,-97.7415,-250.66,0.2565,775.15,1119.16,-30.74,-224.85,6,66.67,-22.49
BTC/USDT,2026-01-20 01:00:00,7,SHORT,0.003137,0.003667,16.8917,0.0,0,1,False,25.0,193.79,-16.9917,-32.93,0.1938,742.22,1119.16,-33.68,-257.78,7,57.14,-25.78
BTC/USDT,2026-01-20 02:00:00,8,SHORT,0.003667,0.003666,-0.0373,0.0,0,0,True,25.0,185.56,-0.0627,-0.12,0.1856,742.1,1119.16,-33.69,-257.9,8,62.5,-25.79
BTC/USDT,2026-01-20 03:00:00,9,SHORT,0.003666,0.003373,-8.0001,0.0,0,0,True,25.0,185.53,7.9001,14.66,0.1855,756.76,1119.16,-32.38,-243.24,9,66.67,-24.32
BTC/USDT,2026-01-20 04:00:00,10,SHORT,0.003373,0.007324,117.1406,0.0,0,1,False,25.0,189.19,-117.2406,-221.81,0.1892,534.95,1119.16,-52.2,-465.05,10,60.0,-46.5
BTC/USDT,2026-01-20 05:00:00,11,SHORT,0.007324,0.005185,-29.2064,0.0,0,0,True,25.0,133.74,29.1064,38.93,0.1337,573.88,1119.16,-48.72,-426.12,11,63.64,-42.61
BTC/USDT,2026-01-20 06:00:00,12,SHORT,0.005185,0.008938,72.3825,0.0,0,1,False,25.0,143.47,-72.4825,-103.99,0.1435,469.89,1119.16,-58.01,-530.11,12,58.33,-53.01
BTC/USDT,2026-01-20 07:00:00,13,SHORT,0.008938,0.008531,-4.5443,0.0,0,0,True,25.0,117.47,4.4443,5.22,0.1175,475.11,1119.16,-57.55,-524.89,13,61.54,-52.49
BTC/USDT,2026-01-20 08:00:00,14,SHORT,0.008531,0.006531,-23.4492,0.0,0,0,True,25.0,118.78,23.3492,27.73,0.1188,502.84,1119.16,-55.07,-497.16,14,64.29,-49.72
BTC/USDT,2026-01-20 09:00:00,15,SHORT,0.006531,0.005763,-11.7513,0.0,0,0,True,25.0,125.71,11.6513,14.65,0.1257,517.49,1119.16,-53.76,-482.51,15,66.67,-48.25
BTC/USDT,2026-01-20 10:00:00,16,SHORT,0.005763,0.006996,21.3821,0.0,0,1,False,25.0,129.37,-21.4821,-27.79,0.1294,489.7,1119.16,-56.24,-510.3,16,62.5,-51.03
BTC/USDT,2026-01-20 11:00:00,17,SHORT,0.006996,0.00651,-6.9468,0.0,0,0,True,25.0,122.42,6.8468,8.38,0.1224,498.08,1119.16,-55.5,-501.92,17,64.71,-50.19
BTC/USDT,2026-01-20 12:00:00,18,SHORT,0.00651,0.00821,26.1244,0.0,0,1,False,25.0,124.52,-26.2244,-32.65,0.1245,465.43,1119.16,-58.41,-534.57,18,61.11,-53.46
BTC/USDT,2026-01-20 13:00:00,19,SHORT,0.00821,0.009848,19.9413,0.0,0,1,False,25.0,116.36,-20.0413,-23.32,0.1164,442.11,1119.16,-60.5,-557.89,19,57.89,-55.79
BTC/USDT,2026-01-20 14:00:00,20,SHORT,0.009848,0.009254,-6.0332,0.0,0,0,True,25.0,110.53,5.9332,6.56,0.1105,448.66,1119.16,-59.91,-551.34,20,60.0,-55.13
BTC/USDT,2026-01-20 15:00:00,21,SHORT,0.009254,0.011337,22.5138,0.0,0,1,False,25.0,112.17,-22.6138,-25.36,0.1122,423.3,1119.16,-62.18,-576.7,21,57.14,-57.67
BTC/USDT,2026-01-20 16:00:00,22,SHORT,0.011337,0.007412,-34.623,0.0,0,0,True,25.0,105.82,34.523,36.53,0.1058,459.83,1119.16,-58.91,-540.17,22,59.09,-54.02
BTC/USDT,2026-01-20 17:00:00,23,SHORT,0.007412,0.007235,-2.3797,0.0,0,0,True,25.0,114.96,2.2797,2.62,0.115,462.45,1119.16,-58.68,-537.55,23,60.87,-53.75
BTC/USDT,2026-01-20 18:00:00,24,SHORT,0.007235,0.011068,52.9677,0.0,0,1,False,25.0,115.61,-53.0677,-61.35,0.1156,401.1,1119.16,-64.16,-598.9,24,58.33,-59.89
BTC/USDT,2026-01-20 19:00:00,25,SHORT,0.011068,0.016313,47.3954,0.0,0,1,False,25.0,100.28,-47.4954,-47.63,0.1003,353.47,1119.16,-68.42,-646.53,25,56.0,-64.65
BTC/USDT,2026-01-20 20:00:00,26,SHORT,0.016313,0.016682,2.2575,0.0,0,1,False,25.0,88.37,-2.3575,-2.08,0.0884,351.39,1119.16,-68.6,-648.61,26,53.85,-64.86
BTC/USDT,2026-01-20 21:00:00,27,SHORT,0.016682,0.016738,0.336,0.0,0,1,False,25.0,87.85,-0.436,-0.38,0.0878,351.01,1119.16,-68.64,-648.99,27,51.85,-64.9
BTC/USDT,2026-01-20 22:00:00,28,SHORT,0.016738,0.011632,-30.501,0.0,0,0,True,25.0,87.75,30.401,26.68,0.0878,377.69,1119.16,-66.25,-622.31,28,53.57,-62.23
BTC/USDT,2026-01-20 23:00:00,29,SHORT,0.011632,0.010681,-8.1802,0.0,0,0,True,25.0,94.42,8.0802,7.63,0.0944,385.31,1119.16,-65.57,-614.69,29,55.17,-61.47
BTC/USDT,2026-01-21 00:00:00,30,SHORT,0.010681,0.01204,12.7212,0.0,0,1,False,25.0,96.33,-12.8212,-12.35,0.0963,372.96,1119.16,-66.67,-627.04,30,53.33,-62.7
BTC/USDT,2026-01-21 01:00:00,31,SHORT,0.01204,0.013592,12.8911,0.0,0,1,False,25.0,93.24,-12.9911,-12.11,0.0932,360.85,1119.16,-67.76,-639.15,31,51.61,-63.91
BTC/USDT,2026-01-21 02:00:00,32,SHORT,0.013592,0.006639,-51.1523,0.0,0,0,True,25.0,90.21,51.0523,46.06,0.0902,406.91,1119.16,-63.64,-593.09,32,53.12,-59.31
BTC/USDT,2026-01-21 03:00:00,33,SHORT,0.006639,0.00867,30.5833,0.0,0,1,False,25.0,101.73,-30.6833,-31.21,0.1017,375.69,1119.16,-66.43,-624.31,33,51.52,-62.43
BTC/USDT,2026-01-21 04:00:00,34,SHORT,0.00867,0.008937,3.0794,0.0,0,1,False,25.0,93.92,-3.1794,-2.99,0.0939,372.71,1119.16,-66.7,-627.29,34,50.0,-62.73
BTC/USDT,2026-01-21 05:00:00,35,SHORT,0.008937,0.007181,-19.6474,0.0,0,0,True,25.0,93.18,19.5474,18.21,0.0932,390.92,1119.16,-65.07,-609.08,35,51.43,-60.91
BTC/USDT,2026-01-21 06:00:00,36,SHORT,0.007181,0.005026,-30.0131,0.0,0,0,True,25.0,97.73,29.9131,29.23,0.0977,420.16,1119.16,-62.46,-579.84,36,52.78,-57.98
BTC/USDT,2026-01-21 07:00:00,37,SHORT,0.005026,0.004905,-2.4096,0.0,0,0,True,25.0,105.04,2.3096,2.43,0.105,422.58,1119.16,-62.24,-577.42,37,54.05,-57.74
BTC/USDT,2026-01-21 08:00:00,38,SHORT,0.004905,0.007163,46.041,0.0,0,1,False,25.0,105.65,-46.141,-48.75,0.1056,373.84,1119.16,-66.6,-626.16,38,52.63,-62.62
BTC/USDT,2026-01-21 09:00:00,39,SHORT,0.007163,0.005609,-21.692,0.0,0,0,True,25.0,93.46,21.592,20.18,0.0935,394.02,1119.16,-64.79,-605.98,39,53.85,-60.6
BTC/USDT,2026-01-21 10:00:00,40,SHORT,0.005609,0.006439,14.7901,0.0,0,1,False,25.0,98.5,-14.8901,-14.67,0.0985,379.35,1119.16,-66.1,-620.65,40,52.5,-62.07
BTC/USDT,2026-01-21 11:00:00,41,SHORT,0.006439,0.003577,-44.4418,0.0,0,0,True,25.0,94.84,44.3418,42.05,0.0948,421.4,1119.16,-62.35,-578.6,41,53.66,-57.86
BTC/USDT,2026-01-21 12:00:00,42,SHORT,0.003577,0.002416,-32.4646,0.0,0,0,True,25.0,105.35,32.3646,34.1,0.1054,455.5,1119.16,-59.3,-544.5,42,54.76,-54.45
BTC/USDT,2026-01-21 13:00:00,43,SHORT,0.002416,0.002541,5.1632,0.0,0,1,False,25.0,113.87,-5.2632,-5.99,0.1139,449.5,1119.16,-59.84,-550.5,43,53.49,-55.05
BTC/USDT,2026-01-21 14:00:00,44,SHORT,0.002541,0.002076,-18.2769,0.0,0,0,True,25.0,112.38,18.1769,20.43,0.1124,469.93,1119.16,-58.01,-530.07,44,54.55,-53.01
BTC/USDT,2026-01-21 15:00:00,45,SHORT,0.002076,0.001472,-29.0892,0.0,0,0,True,25.0,117.48,28.9892,34.06,0.1175,503.99,1119.16,-54.97,-496.01,45,55.56,-49.6
BTC/USDT,2026-01-21 16:00:00,46,SHORT,0.001472,0.002992,103.2356,0.0,0,1,False,25.0,126.0,-103.3356,-130.2,0.126,373.79,1119.16,-66.6,-626.21,46,54.35,-62.62
BTC/USDT,2026-01-21 17:00:00,47,SHORT,0.002992,0.002906,-2.8719,0.0,0,0,True,25.0,93.45,2.7719,2.59,0.0934,376.38,1119.16,-66.37,-623.62,47,55.32,-62.36
BTC/USDT,2026-01-21 18:00:00,48,SHORT,0.002906,0.002161,-25.658,0.0,0,0,True,25.0,94.09,25.558,24.05,0.0941,400.43,1119.16,-64.22,-599.57,48,56.25,-59.96
BTC/USDT,2026-01-21 19:00:00,49,SHORT,0.002161,0.002028,-6.1449,0.0,0,0,True,25.0,100.11,6.0449,6.05,0.1001,406.48,1119.16,-63.68,-593.52,49,57.14,-59.35
BTC/USDT,2026-01-21 20:00:00,50,SHORT,0.002028,0.003358,65.6122,0.0,0,1,False,25.0,101.62,-65.7122,-66.78,0.1016,339.7,1119.16,-69.65,-660.3,50,56.0,-66.03
BTC/USDT,2026-01-21 21:00:00,51,SHORT,0.003358,0.002609,-22.3109,0.0,0,0,True,25.0,84.93,22.2109,18.86,0.0849,358.56,1119.16,-67.96,-641.44,51,56.86,-64.14
BTC/USDT,2026-01-21 22:00:00,52,SHORT,0.002609,0.002532,-2.9397,0.0,0,0,True,25.0,89.64,2.8397,2.55,0.0896,361.11,1119.16,-67.73,-638.89,52,57.69,-63.89
BTC/USDT,2026-01-21 23:00:00,53,SHORT,0.002532,0.007377,191.3158,0.0,0,1,False,25.0,90.28,-191.4158,-172.81,0.0903,188.3,1119.16,-83.17,-811.7,53,56.6,-81.17
