symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-03-16 04:00:00,1,LONG,0.003577,0.002416,-32.4646,0.548766,1,0,False,25.0,250.0,-32.5646,-81.41,0.25,918.59,1000.0,-8.14,-81.41,1,0.0,-8.14
BTC/USDT,2026-03-16 05:00:00,2,LONG,0.002416,0.002541,5.1632,0.549849,1,1,True,25.0,229.65,5.0632,11.63,0.2296,930.22,1000.0,-6.98,-69.78,2,50.0,-6.98
BTC/USDT,2026-03-16 06:00:00,3,LONG,0.002541,0.002076,-18.2769,0.548588,1,0,False,25.0,232.55,-18.3769,-42.74,0.2326,887.48,1000.0,-11.25,-112.52,3,33.33,-11.25
BTC/USDT,2026-03-16 07:00:00,0,HOLD,0.002076,0.001472,-29.0892,0.545036,1,0,False,0.0,0.0,0.0,0.0,0.0,887.48,1000.0,-11.25,-112.52,3,33.33,-11.25
BTC/USDT,2026-03-16 08:00:00,0,HOLD,0.001472,0.002992,103.2356,0.543814,1,1,True,0.0,0.0,0.0,0.0,0.0,887.48,1000.0,-11.25,-112.52,3,33.33,-11.25
BTC/USDT,2026-03-16 09:00:00,0,HOLD,0.002992,0.002906,-2.8719,0.535942,1,0,False,0.0,0.0,0.0,0.0,0.0,887.48,1000.0,-11.25,-112.52,3,33.33,-11.25
BTC/USDT,2026-03-16 10:00:00,0,HOLD,0.002906,0.002161,-25.658,0.528901,1,0,False,0.0,0.0,0.0,0.0,0.0,887.48,1000.0,-11.25,-112.52,3,33.33,-11.25
BTC/USDT,2026-03-16 11:00:00,0,HOLD,0.002161,0.002028,-6.1449,0.531165,1,0,False,0.0,0.0,0.0,0.0,0.0,887.48,1000.0,-11.25,-112.52,3,33.33,-11.25
BTC/USDT,2026-03-16 12:00:00,0,HOLD,0.002028,0.003358,65.6122,0.539287,1,1,True,0.0,0.0,0.0,0.0,0.0,887.48,1000.0,-11.25,-112.52,3,33.33,-11.25
BTC/USDT,2026-03-16 13:00:00,4,LONG,0.003358,0.002609,-22.3109,0.553127,1,0,False,25.0,221.87,-22.4109,-49.72,0.2219,837.76,1000.0,-16.22,-162.24,4,25.0,-16.22
BTC/USDT,2026-03-16 14:00:00,5,LONG,0.002609,0.002532,-2.9397,0.570166,1,0,False,25.0,209.44,-3.0397,-6.37,0.2094,831.39,1000.0,-16.86,-168.61,5,20.0,-16.86
BTC/USDT,2026-03-16 15:00:00,6,LONG,0.002532,0.007377,191.3158,0.579953,1,1,True,25.0,207.85,191.2158,397.44,0.2078,1228.83,1228.83,0.0,228.83,6,33.33,22.88
BTC/USDT,2026-03-16 16:00:00,7,LONG,0.007377,0.008013,8.6181,0.589002,1,1,True,25.0,307.21,8.5181,26.17,0.3072,1255.0,1255.0,0.0,255.0,7,42.86,25.5
