symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct
BTC/USDT,2026-03-18 12:00:00,LONG,0.5689899921417236,0.003577,1.0,0.0,False,1,OPEN,LONG,0.003577,,2026-03-18 12:00:00,,,250.0,0.0,0.0,0.0,1,750.0,999.75,1000.0,-0.02,0.0,0,-0.02
BTC/USDT,2026-03-18 13:00:00,LONG,0.5730090141296387,0.002416,1.0,1.0,True,2,OPEN,LONG,0.002416,,2026-03-18 13:00:00,,,187.5,0.0,0.0,0.0,2,562.5,918.48,1000.0,-8.15,0.0,0,-8.15
BTC/USDT,2026-03-18 14:00:00,LONG,0.5728729963302612,0.002541,1.0,0.0,False,3,OPEN,LONG,0.002541,,2026-03-18 14:00:00,,,140.62,0.0,0.0,0.0,3,421.88,936.72,1000.0,-6.33,0.0,0,-6.33
BTC/USDT,2026-03-18 15:00:00,LONG,0.575203001499176,0.002076,1.0,0.0,False,4,OPEN,LONG,0.002076,,2026-03-18 15:00:00,,,105.47,0.0,0.0,0.0,4,316.41,842.52,1000.0,-15.75,0.0,0,-15.75
BTC/USDT,2026-03-18 16:00:00,LONG,0.5771510004997253,0.001472,1.0,1.0,True,5,OPEN,LONG,0.001472,,2026-03-18 16:00:00,,,79.1,0.0,0.0,0.0,5,237.3,689.4,1000.0,-31.06,0.0,0,-31.06
BTC/USDT,2026-03-18 17:00:00,LONG,0.5701029896736145,0.002992,1.0,0.0,False,6,OPEN,LONG,0.002992,,2026-03-18 17:00:00,,,59.33,0.0,0.0,0.0,6,177.98,1156.06,1156.06,0.0,0.0,0,15.61
BTC/USDT,2026-03-18 18:00:00,LONG,0.5639749765396118,0.002906,1.0,0.0,False,7,OPEN,LONG,0.002906,,2026-03-18 18:00:00,,,44.49,0.0,0.0,0.0,7,133.48,1127.93,1156.06,-2.43,0.0,0,12.79
BTC/USDT,2026-03-18 19:00:00,LONG,0.5649319887161255,0.002161,1.0,0.0,False,8,OPEN,LONG,0.002161,,2026-03-18 19:00:00,,,33.37,0.0,0.0,0.0,8,100.11,872.74,1156.06,-24.51,0.0,0,-12.73
BTC/USDT,2026-03-18 20:00:00,LONG,0.5704609751701355,0.002028,1.0,1.0,True,9,OPEN,LONG,0.002028,,2026-03-18 20:00:00,,,25.03,0.0,0.0,0.0,9,75.08,825.24,1156.06,-28.62,0.0,0,-17.48
BTC/USDT,2026-03-18 21:00:00,LONG,0.5774270296096802,0.003358,1.0,0.0,False,10,OPEN,LONG,0.003358,,2026-03-18 21:00:00,,,18.77,0.0,0.0,0.0,10,56.31,1317.41,1317.41,0.0,0.0,0,31.74
BTC/USDT,2026-03-18 22:00:00,LONG,0.5860239863395691,0.002609,1.0,0.0,False,11,OPEN,LONG,0.002609,,2026-03-18 22:00:00,,,14.08,0.0,0.0,0.0,11,42.24,1036.03,1317.41,-21.36,0.0,0,3.6
BTC/USDT,2026-03-18 23:00:00,LONG,0.5896769762039185,0.002532,1.0,1.0,True,12,OPEN,LONG,0.002532,,2026-03-18 23:00:00,,,10.56,0.0,0.0,0.0,12,31.68,1006.81,1317.41,-23.58,0.0,0,0.68
BTC/USDT,2026-03-19 00:00:00,LONG,0.5948519706726074,0.007377,1.0,1.0,True,13,OPEN,LONG,0.007377,,2026-03-19 00:00:00,,,7.92,0.0,0.0,0.0,13,23.76,2872.38,2872.38,0.0,0.0,0,187.24
BTC/USDT,2026-03-19 01:00:00,LONG,0.6021639704704285,0.008013,1.0,0.0,False,14,OPEN,LONG,0.008013,,2026-03-19 01:00:00,,,5.94,0.0,0.0,0.0,14,17.82,3117.87,3117.87,0.0,0.0,0,211.79
