symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2026-01-24 00:00:00,LONG,1.0,0.002406,1.0,1.0,True,1,OPEN,LONG,0.002406,,2026-01-24 00:00:00,,,250.0,0.0,0.0,0.0,1,750.0,999.75,1000.0,-0.02,0.0,0,-0.02,,
BTC/USDT,2026-01-24 01:00:00,SHORT,0.0,0.002742,0.0,1.0,False,1,CLOSE,LONG,0.002406,0.002742,2026-01-24 00:00:00,2026-01-24 01:00:00,1.0,250.0,13.9829,34.39,0.2847,1,775.79,1034.13,1034.13,0.0,34.39,1,3.41,,
BTC/USDT,2026-01-24 01:00:00,SHORT,0.0,0.002742,0.0,1.0,False,2,OPEN,SHORT,0.002742,,2026-01-24 01:00:00,,,258.6,0.0,0.0,0.0,1,775.79,1034.13,1034.13,0.0,34.39,1,3.41,,
BTC/USDT,2026-01-24 02:00:00,LONG,1.0,0.003751,1.0,1.0,True,2,CLOSE,SHORT,0.002742,0.003751,2026-01-24 01:00:00,2026-01-24 02:00:00,1.0,258.6,-36.8013,-95.49,0.1633,1,704.17,938.66,1034.13,-9.23,-61.11,2,-6.13,,
BTC/USDT,2026-01-24 02:00:00,LONG,1.0,0.003751,1.0,1.0,True,3,OPEN,LONG,0.003751,,2026-01-24 02:00:00,,,234.72,0.0,0.0,0.0,1,704.17,938.66,1034.13,-9.23,-61.11,2,-6.13,,
BTC/USDT,2026-01-24 03:00:00,LONG,1.0,0.004258,1.0,0.0,False,4,OPEN,LONG,0.004258,,2026-01-24 03:00:00,,,176.04,0.0,0.0,0.0,2,528.13,970.17,1034.13,-6.18,-61.11,2,-2.98,,
BTC/USDT,2026-01-24 04:00:00,SHORT,0.0,0.003291,0.0,1.0,False,3,CLOSE,LONG,0.003751,0.003291,2026-01-24 02:00:00,2026-01-24 04:00:00,2.0,234.72,-12.2775,-29.23,0.2057,1,652.04,869.18,1034.13,-15.95,-90.34,3,-13.08,,
BTC/USDT,2026-01-24 04:00:00,SHORT,0.0,0.003291,0.0,1.0,False,4,CLOSE,LONG,0.004258,0.003291,2026-01-24 03:00:00,2026-01-24 04:00:00,1.0,176.04,-22.7214,-40.27,0.1359,1,652.04,869.18,1034.13,-15.95,-130.61,4,-13.08,,
BTC/USDT,2026-01-24 04:00:00,SHORT,0.0,0.003291,0.0,1.0,False,5,OPEN,SHORT,0.003291,,2026-01-24 04:00:00,,,217.35,0.0,0.0,0.0,1,652.04,869.18,1034.13,-15.95,-130.61,4,-13.08,,
BTC/USDT,2026-01-24 05:00:00,LONG,1.0,0.005996,1.0,0.0,False,5,CLOSE,SHORT,0.003291,0.005996,2026-01-24 04:00:00,2026-01-24 05:00:00,1.0,217.35,-82.2088,-178.76,0.0386,1,517.98,690.46,1034.13,-33.23,-309.36,5,-30.95,,
