symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2026-01-24 00:00:00,LONG,0.5650669932365417,0.002406,1.0,1.0,True,1,OPEN,LONG,0.002406,,2026-01-24 00:00:00,,,250.0,0.0,0.0,0.0,1,750.0,999.75,1000.0,-0.02,0.0,0,-0.02,,
BTC/USDT,2026-01-24 01:00:00,LONG,0.5650240182876587,0.002742,1.0,1.0,True,2,OPEN,LONG,0.002742,,2026-01-24 01:00:00,,,187.5,0.0,0.0,0.0,2,562.5,1034.48,1034.48,0.0,0.0,0,3.45,,
BTC/USDT,2026-01-24 02:00:00,LONG,0.5637149810791016,0.003751,1.0,1.0,True,3,OPEN,LONG,0.003751,,2026-01-24 02:00:00,,,140.62,0.0,0.0,0.0,3,421.88,1208.04,1208.04,0.0,0.0,0,20.8,,
BTC/USDT,2026-01-24 03:00:00,LONG,0.5621309876441956,0.004258,1.0,0.0,False,4,OPEN,LONG,0.004258,,2026-01-24 03:00:00,,,105.47,0.0,0.0,0.0,4,316.41,1314.18,1314.18,0.0,0.0,0,31.42,,
BTC/USDT,2026-01-24 04:00:00,LONG,0.5607240200042725,0.003291,1.0,1.0,True,5,OPEN,LONG,0.003291,,2026-01-24 04:00:00,,,79.1,0.0,0.0,0.0,5,237.3,1087.39,1314.18,-17.26,0.0,0,8.74,,
BTC/USDT,2026-01-24 05:00:00,LONG,0.5591179728507996,0.005996,1.0,0.0,False,6,OPEN,LONG,0.005996,,2026-01-24 05:00:00,,,59.33,0.0,0.0,0.0,6,177.98,1786.18,1786.18,0.0,0.0,0,78.62,,
BTC/USDT,2026-01-24 06:00:00,LONG,0.5576140284538269,0.004452,1.0,1.0,True,7,OPEN,LONG,0.004452,,2026-01-24 06:00:00,,,44.49,0.0,0.0,0.0,7,133.48,1371.93,1786.18,-23.19,0.0,0,37.19,,
BTC/USDT,2026-01-24 07:00:00,LONG,0.5567929744720459,0.009738,1.0,1.0,True,8,OPEN,LONG,0.009738,,2026-01-24 07:00:00,,,33.37,0.0,0.0,0.0,8,100.11,2842.62,2842.62,0.0,0.0,0,184.26,,
BTC/USDT,2026-01-24 08:00:00,LONG,0.5580530166625977,0.015294,1.0,0.0,False,9,OPEN,LONG,0.015294,,2026-01-24 08:00:00,,,25.03,0.0,0.0,0.0,9,75.08,4407.29,4407.29,0.0,0.0,0,340.73,,
BTC/USDT,2026-01-24 09:00:00,LONG,0.558784008026123,0.015097,1.0,1.0,True,10,OPEN,LONG,0.015097,,2026-01-24 09:00:00,,,18.77,0.0,0.0,0.0,10,56.31,4351.46,4407.29,-1.27,0.0,0,335.15,,
BTC/USDT,2026-01-24 10:00:00,LONG,0.5591220259666443,0.017049,1.0,0.0,False,11,OPEN,LONG,0.017049,,2026-01-24 10:00:00,,,14.08,0.0,0.0,0.0,11,42.24,4906.67,4906.67,0.0,0.0,0,390.67,,
BTC/USDT,2026-01-24 11:00:00,LONG,0.5569429993629456,0.013304,1.0,1.0,True,12,OPEN,LONG,0.013304,,2026-01-24 11:00:00,,,10.56,0.0,0.0,0.0,12,31.68,3838.33,4906.67,-21.77,0.0,0,283.83,,
BTC/USDT,2026-01-24 12:00:00,LONG,0.556065022945404,0.019277,1.0,1.0,True,13,OPEN,LONG,0.019277,,2026-01-24 12:00:00,,,7.92,0.0,0.0,0.0,13,23.76,5547.25,5547.25,0.0,0.0,0,454.73,,
BTC/USDT,2026-01-24 13:00:00,LONG,0.5565990209579468,0.034727,1.0,0.0,False,14,OPEN,LONG,0.034727,,2026-01-24 13:00:00,,,5.94,0.0,0.0,0.0,14,17.82,9974.2,9974.2,0.0,0.0,0,897.42,,
