symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2026-01-24 00:00:00,LONG,0.7215049862861633,0.002406,1.0,1.0,True,1,OPEN,LONG,0.002406,,2026-01-24 00:00:00,,,250.0,0.0,0.0,0.0,1,750.0,999.75,1000.0,-0.02,0.0,0,-0.02,,
BTC/USDT,2026-01-24 01:00:00,SHORT,0.39803099632263184,0.002742,0.0,1.0,False,1,CLOSE,LONG,0.002406,0.002742,2026-01-24 00:00:00,2026-01-24 01:00:00,1.0,250.0,13.9829,34.39,0.2847,1,775.79,1034.13,1034.13,0.0,34.39,1,3.41,,
BTC/USDT,2026-01-24 01:00:00,SHORT,0.39803099632263184,0.002742,0.0,1.0,False,2,OPEN,SHORT,0.002742,,2026-01-24 01:00:00,,,258.6,0.0,0.0,0.0,1,775.79,1034.13,1034.13,0.0,34.39,1,3.41,,
BTC/USDT,2026-01-24 02:00:00,HOLD,0.5078319907188416,0.003751,1.0,1.0,True,0,HOLD,,0.003751,,,,,0.0,0.0,0.0,0.0,1,775.79,939.06,1034.13,-9.19,34.39,1,-6.09,,
BTC/USDT,2026-01-24 03:00:00,SHORT,0.3806459903717041,0.004258,0.0,0.0,True,3,OPEN,SHORT,0.004258,,2026-01-24 03:00:00,,,193.95,0.0,0.0,0.0,2,581.84,891.1,1034.13,-13.83,34.39,1,-10.89,,
BTC/USDT,2026-01-24 04:00:00,HOLD,0.41100001335144043,0.003291,0.0,1.0,False,0,HOLD,,0.003291,,,,,0.0,0.0,0.0,0.0,2,581.84,1026.28,1034.13,-0.76,34.39,1,2.63,,
BTC/USDT,2026-01-24 05:00:00,HOLD,0.4300360083580017,0.005996,0.0,0.0,True,0,HOLD,,0.005996,,,,,0.0,0.0,0.0,0.0,2,581.84,648.32,1034.13,-37.31,34.39,1,-35.17,,
BTC/USDT,2026-01-24 06:00:00,HOLD,0.4661889970302582,0.004452,0.0,1.0,False,0,HOLD,,0.004452,,,,,0.0,0.0,0.0,0.0,2,581.84,864.08,1034.13,-16.44,34.39,1,-13.59,,
BTC/USDT,2026-01-24 07:00:00,HOLD,0.5751659870147705,0.009738,1.0,1.0,True,0,HOLD,,0.009738,,,,,0.0,0.0,0.0,0.0,2,581.84,125.49,1034.13,-87.87,34.39,1,-87.45,,
BTC/USDT,2026-01-24 08:00:00,SHORT,0.3660210072994232,0.015294,0.0,0.0,True,4,OPEN,SHORT,0.015294,,2026-01-24 08:00:00,,,145.46,0.0,0.0,0.0,3,436.38,-650.9,1034.13,-162.94,34.39,1,-165.09,,
BTC/USDT,2026-01-24 09:00:00,HOLD,0.4850189983844757,0.015097,0.0,1.0,False,0,HOLD,,0.015097,,,,,0.0,0.0,0.0,0.0,3,436.38,-621.5,1034.13,-160.1,34.39,1,-162.15,,
BTC/USDT,2026-01-24 10:00:00,HOLD,0.4094890058040619,0.017049,0.0,0.0,True,0,HOLD,,0.017049,,,,,0.0,0.0,0.0,0.0,3,436.38,-912.7,1034.13,-188.26,34.39,1,-191.27,,
BTC/USDT,2026-01-24 11:00:00,HOLD,0.40619900822639465,0.013304,0.0,1.0,False,0,HOLD,,0.013304,,,,,0.0,0.0,0.0,0.0,3,436.38,-354.01,1034.13,-134.23,34.39,1,-135.4,,
BTC/USDT,2026-01-24 12:00:00,HOLD,0.49455299973487854,0.019277,0.0,1.0,False,0,HOLD,,0.019277,,,,,0.0,0.0,0.0,0.0,3,436.38,-1245.23,1034.13,-220.41,34.39,1,-224.52,,
BTC/USDT,2026-01-24 13:00:00,HOLD,0.5385590195655823,0.034727,1.0,0.0,False,0,HOLD,,0.034727,,,,,0.0,0.0,0.0,0.0,3,436.38,-3550.61,1034.13,-443.34,34.39,1,-455.06,,
BTC/USDT,2026-01-24 14:00:00,HOLD,0.49387800693511963,0.031504,0.0,1.0,False,0,HOLD,,0.031504,,,,,0.0,0.0,0.0,0.0,3,436.38,-3069.69,1034.13,-396.84,34.39,1,-406.97,,
BTC/USDT,2026-01-24 15:00:00,LONG,0.587568998336792,0.039717,1.0,0.0,False,2,CLOSE,SHORT,0.002742,0.039717,2026-01-24 01:00:00,2026-01-24 15:00:00,14.0,258.6,-1348.3921,-3486.9,3.2251,1,327.29,436.27,1034.13,-57.81,-3452.51,2,-56.37,,
BTC/USDT,2026-01-24 15:00:00,LONG,0.587568998336792,0.039717,1.0,0.0,False,3,CLOSE,SHORT,0.004258,0.039717,2026-01-24 03:00:00,2026-01-24 15:00:00,12.0,193.95,-832.7047,-1615.01,1.4196,1,327.29,436.27,1034.13,-57.81,-5067.52,3,-56.37,,
BTC/USDT,2026-01-24 15:00:00,LONG,0.587568998336792,0.039717,1.0,0.0,False,4,CLOSE,SHORT,0.015294,0.039717,2026-01-24 08:00:00,2026-01-24 15:00:00,7.0,145.46,-159.6856,-232.28,0.0867,1,327.29,436.27,1034.13,-57.81,-5299.8,4,-56.37,,
BTC/USDT,2026-01-24 15:00:00,LONG,0.587568998336792,0.039717,1.0,0.0,False,5,OPEN,LONG,0.039717,,2026-01-24 15:00:00,,,109.1,0.0,0.0,0.0,1,327.29,436.27,1034.13,-57.81,-5299.8,4,-56.37,,
BTC/USDT,2026-01-24 16:00:00,HOLD,0.5511999726295471,0.028279,1.0,0.0,False,0,HOLD,,0.028279,,,,,0.0,0.0,0.0,0.0,1,327.29,404.89,1034.13,-60.85,-5299.8,4,-59.51,,
BTC/USDT,2026-01-24 17:00:00,LONG,0.5815179944038391,0.026708,1.0,1.0,True,6,OPEN,LONG,0.026708,,2026-01-24 17:00:00,,,81.82,0.0,0.0,0.0,2,245.47,400.49,1034.13,-61.27,-5299.8,4,-59.95,,
BTC/USDT,2026-01-24 18:00:00,LONG,0.7386500239372253,0.037133,1.0,1.0,True,7,OPEN,LONG,0.037133,,2026-01-24 18:00:00,,,61.37,0.0,0.0,0.0,3,184.1,460.95,1034.13,-55.43,-5299.8,4,-53.91,,
BTC/USDT,2026-01-24 19:00:00,LONG,0.7905420064926147,0.055892,1.0,1.0,True,8,OPEN,LONG,0.055892,,2026-01-24 19:00:00,,,46.02,0.0,0.0,0.0,4,138.07,600.76,1034.13,-41.91,-5299.8,4,-39.92,,
BTC/USDT,2026-01-24 20:00:00,LONG,0.7238100171089172,0.060785,1.0,0.0,False,9,OPEN,LONG,0.060785,,2026-01-24 20:00:00,,,34.52,0.0,0.0,0.0,5,103.56,641.23,1034.13,-37.99,-5299.8,4,-35.88,,
BTC/USDT,2026-01-24 21:00:00,LONG,0.5903030037879944,0.036794,1.0,0.0,False,10,OPEN,LONG,0.036794,,2026-01-24 21:00:00,,,25.89,0.0,0.0,0.0,6,77.67,428.99,1034.13,-58.52,-5299.8,4,-57.1,,
BTC/USDT,2026-01-24 22:00:00,LONG,0.6442869901657104,0.027978,1.0,1.0,True,11,OPEN,LONG,0.027978,,2026-01-24 22:00:00,,,19.42,0.0,0.0,0.0,7,58.25,344.8,1034.13,-66.66,-5299.8,4,-65.52,,
BTC/USDT,2026-01-24 23:00:00,LONG,0.7263910174369812,0.046378,1.0,0.0,False,12,OPEN,LONG,0.046378,,2026-01-24 23:00:00,,,14.56,0.0,0.0,0.0,8,43.69,533.22,1034.13,-48.44,-5299.8,4,-46.68,,
BTC/USDT,2026-01-25 00:00:00,LONG,0.7193199992179871,0.035284,1.0,1.0,True,13,OPEN,LONG,0.035284,,2026-01-25 00:00:00,,,10.92,0.0,0.0,0.0,9,32.77,416.11,1034.13,-59.76,-5299.8,4,-58.39,,
BTC/USDT,2026-01-25 01:00:00,LONG,0.6398800015449524,0.042428,1.0,1.0,True,14,OPEN,LONG,0.042428,,2026-01-25 01:00:00,,,8.19,0.0,0.0,0.0,10,24.57,493.72,1034.13,-52.26,-5299.8,4,-50.63,,
BTC/USDT,2026-01-25 02:00:00,LONG,0.7580469846725464,0.048237,1.0,1.0,True,15,OPEN,LONG,0.048237,,2026-01-25 02:00:00,,,6.14,0.0,0.0,0.0,11,18.43,557.95,1034.13,-46.05,-5299.8,4,-44.21,,
BTC/USDT,2026-01-25 03:00:00,LONG,0.6871680021286011,0.081665,1.0,0.0,False,16,OPEN,LONG,0.081665,,2026-01-25 03:00:00,,,4.61,0.0,0.0,0.0,12,13.82,931.83,1034.13,-9.89,-5299.8,4,-6.82,,
BTC/USDT,2026-01-25 04:00:00,LONG,0.6497949957847595,0.058244,1.0,1.0,True,17,OPEN,LONG,0.058244,,2026-01-25 04:00:00,,,3.46,0.0,0.0,0.0,13,10.37,668.55,1034.13,-35.35,-5299.8,4,-33.15,,
BTC/USDT,2026-01-25 05:00:00,LONG,0.6783459782600403,0.07744,1.0,1.0,True,18,OPEN,LONG,0.07744,,2026-01-25 05:00:00,,,2.59,0.0,0.0,0.0,14,7.78,885.47,1034.13,-14.38,-5299.8,4,-11.45,,
BTC/USDT,2026-01-25 06:00:00,LONG,0.7216169834136963,0.109969,1.0,1.0,True,19,OPEN,LONG,0.109969,,2026-01-25 06:00:00,,,1.94,0.0,0.0,0.0,15,5.83,1254.14,1254.14,0.0,-5299.8,4,25.41,,
BTC/USDT,2026-01-25 07:00:00,LONG,0.6112120151519775,0.116755,1.0,0.0,False,20,OPEN,LONG,0.116755,,2026-01-25 07:00:00,,,1.46,0.0,0.0,0.0,16,4.37,1331.17,1331.17,0.0,-5299.8,4,33.12,,
BTC/USDT,2026-01-25 08:00:00,LONG,0.610929012298584,0.065489,1.0,0.0,False,21,OPEN,LONG,0.065489,,2026-01-25 08:00:00,,,1.09,0.0,0.0,0.0,17,3.28,748.58,1331.17,-43.77,-5299.8,4,-25.14,,
BTC/USDT,2026-01-25 09:00:00,LONG,0.7236689925193787,0.054526,1.0,1.0,True,22,OPEN,LONG,0.054526,,2026-01-25 09:00:00,,,0.82,0.0,0.0,0.0,18,2.46,623.82,1331.17,-53.14,-5299.8,4,-37.62,,
BTC/USDT,2026-01-25 10:00:00,LONG,0.6765519976615906,0.082008,1.0,0.0,False,23,OPEN,LONG,0.082008,,2026-01-25 10:00:00,,,0.62,0.0,0.0,0.0,19,1.85,936.99,1331.17,-29.61,-5299.8,4,-6.3,,
BTC/USDT,2026-01-25 11:00:00,LONG,0.6863340139389038,0.081325,1.0,1.0,True,24,OPEN,LONG,0.081325,,2026-01-25 11:00:00,,,0.46,0.0,0.0,0.0,20,1.38,929.21,1331.17,-30.2,-5299.8,4,-7.08,,
BTC/USDT,2026-01-25 12:00:00,LONG,0.6751390099525452,0.08832,1.0,0.0,False,25,OPEN,LONG,0.08832,,2026-01-25 12:00:00,,,0.35,0.0,0.0,0.0,21,1.04,1009.01,1331.17,-24.2,-5299.8,4,0.9,,
BTC/USDT,2026-01-25 13:00:00,LONG,0.662917971611023,0.069787,1.0,1.0,True,26,OPEN,LONG,0.069787,,2026-01-25 13:00:00,,,0.26,0.0,0.0,0.0,22,0.78,797.5,1331.17,-40.09,-5299.8,4,-20.25,,
BTC/USDT,2026-01-25 14:00:00,LONG,0.6864640116691589,0.088303,1.0,0.0,False,27,OPEN,LONG,0.088303,,2026-01-25 14:00:00,,,0.19,0.0,0.0,0.0,23,0.58,1008.89,1331.17,-24.21,-5299.8,4,0.89,,
BTC/USDT,2026-01-25 15:00:00,LONG,0.6556029915809631,0.08681,1.0,0.0,False,28,OPEN,LONG,0.08681,,2026-01-25 15:00:00,,,0.15,0.0,0.0,0.0,24,0.44,991.84,1331.17,-25.49,-5299.8,4,-0.82,,
BTC/USDT,2026-01-25 16:00:00,LONG,0.6837040185928345,0.083498,1.0,1.0,True,29,OPEN,LONG,0.083498,,2026-01-25 16:00:00,,,0.11,0.0,0.0,0.0,25,0.33,954.01,1331.17,-28.33,-5299.8,4,-4.6,,
BTC/USDT,2026-01-25 17:00:00,LONG,0.6599079966545105,0.08686,1.0,0.0,False,30,OPEN,LONG,0.08686,,2026-01-25 17:00:00,,,0.08,0.0,0.0,0.0,26,0.25,992.41,1331.17,-25.45,-5299.8,4,-0.76,,
BTC/USDT,2026-01-25 18:00:00,LONG,0.672668993473053,0.078532,1.0,1.0,True,31,OPEN,LONG,0.078532,,2026-01-25 18:00:00,,,0.06,0.0,0.0,0.0,27,0.18,897.29,1331.17,-32.59,-5299.8,4,-10.27,,
BTC/USDT,2026-01-25 19:00:00,LONG,0.6815059781074524,0.143413,1.0,1.0,True,32,OPEN,LONG,0.143413,,2026-01-25 19:00:00,,,0.05,0.0,0.0,0.0,28,0.14,1638.44,1638.44,0.0,-5299.8,4,63.84,,
BTC/USDT,2026-01-25 20:00:00,LONG,0.6303439736366272,0.246382,1.0,1.0,True,33,OPEN,LONG,0.246382,,2026-01-25 20:00:00,,,0.03,0.0,0.0,0.0,29,0.1,2814.73,2814.73,0.0,-5299.8,4,181.47,,
BTC/USDT,2026-01-25 21:00:00,HOLD,0.559594988822937,0.408544,1.0,1.0,True,0,HOLD,,0.408544,,,,,0.0,0.0,0.0,0.0,29,0.1,4667.23,4667.23,0.0,-5299.8,4,366.72,,
BTC/USDT,2026-01-25 22:00:00,HOLD,0.42797398567199707,0.445924,0.0,0.0,True,0,HOLD,,0.445924,,,,,0.0,0.0,0.0,0.0,29,0.1,5094.25,5094.25,0.0,-5299.8,4,409.43,,
BTC/USDT,2026-01-25 23:00:00,HOLD,0.49825000762939453,0.376205,0.0,1.0,False,0,HOLD,,0.376205,,,,,0.0,0.0,0.0,0.0,29,0.1,4297.8,5094.25,-15.63,-5299.8,4,329.78,,
BTC/USDT,2026-01-26 00:00:00,HOLD,0.49099400639533997,0.475399,0.0,0.0,True,0,HOLD,,0.475399,,,,,0.0,0.0,0.0,0.0,29,0.1,5430.97,5430.97,0.0,-5299.8,4,443.1,,
BTC/USDT,2026-01-26 01:00:00,LONG,0.6479380130767822,0.439452,1.0,1.0,True,34,OPEN,LONG,0.439452,,2026-01-26 01:00:00,,,0.03,0.0,0.0,0.0,30,0.08,5020.32,5430.97,-7.56,-5299.8,4,402.03,,
BTC/USDT,2026-01-26 02:00:00,LONG,0.6997920274734497,0.558423,1.0,0.0,False,35,OPEN,LONG,0.558423,,2026-01-26 02:00:00,,,0.02,0.0,0.0,0.0,31,0.06,6379.43,6379.43,0.0,-5299.8,4,537.94,,
BTC/USDT,2026-01-26 03:00:00,LONG,0.6264010071754456,0.471319,1.0,1.0,True,36,OPEN,LONG,0.471319,,2026-01-26 03:00:00,,,0.01,0.0,0.0,0.0,32,0.04,5384.36,6379.43,-15.6,-5299.8,4,438.44,,
BTC/USDT,2026-01-26 04:00:00,LONG,0.6668069958686829,0.519257,1.0,1.0,True,37,OPEN,LONG,0.519257,,2026-01-26 04:00:00,,,0.01,0.0,0.0,0.0,33,0.03,5932.0,6379.43,-7.01,-5299.8,4,493.2,,
BTC/USDT,2026-01-26 05:00:00,HOLD,0.5521739721298218,0.710385,1.0,0.0,False,0,HOLD,,0.710385,,,,,0.0,0.0,0.0,0.0,33,0.03,8115.44,8115.44,0.0,-5299.8,4,711.54,,
BTC/USDT,2026-01-26 06:00:00,LONG,0.6115679740905762,0.658856,1.0,0.0,False,38,OPEN,LONG,0.658856,,2026-01-26 06:00:00,,,0.01,0.0,0.0,0.0,34,0.02,7526.77,8115.44,-7.25,-5299.8,4,652.68,,
BTC/USDT,2026-01-26 07:00:00,HOLD,0.5500360131263733,0.609691,1.0,0.0,False,0,HOLD,,0.609691,,,,,0.0,0.0,0.0,0.0,34,0.02,6965.11,8115.44,-14.17,-5299.8,4,596.51,,
BTC/USDT,2026-01-26 08:00:00,HOLD,0.5717639923095703,0.393411,1.0,0.0,False,0,HOLD,,0.393411,,,,,0.0,0.0,0.0,0.0,34,0.02,4494.34,8115.44,-44.62,-5299.8,4,349.43,,
BTC/USDT,2026-01-26 09:00:00,LONG,0.6382240056991577,0.300457,1.0,1.0,True,39,OPEN,LONG,0.300457,,2026-01-26 09:00:00,,,0.01,0.0,0.0,0.0,35,0.02,3432.44,8115.44,-57.7,-5299.8,4,243.24,,
BTC/USDT,2026-01-26 10:00:00,LONG,0.604112982749939,0.365404,1.0,1.0,True,40,OPEN,LONG,0.365404,,2026-01-26 10:00:00,,,0.0,0.0,0.0,0.0,36,0.01,4174.39,8115.44,-48.56,-5299.8,4,317.44,,
