symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2026-02-16 17:00:00,SHORT,0.0,67951.86,0.0,0.0,True,1,OPEN,SHORT,67951.86,,2026-02-16 17:00:00,,,400.0,0.0,0.0,0.0,1,600.0,999.6,1000.0,-0.04,0.0,0,-0.04,,
BTC/USDT,2026-02-16 18:00:00,LONG,1.0,67860.13,1.0,1.0,True,1,CLOSE,SHORT,67951.86,67860.13,2026-02-16 17:00:00,2026-02-16 18:00:00,1.0,400.0,0.135,-0.26,0.4001,1,599.84,999.34,1000.0,-0.07,-0.26,1,-0.07,,
BTC/USDT,2026-02-16 18:00:00,LONG,1.0,67860.13,1.0,1.0,True,2,OPEN,LONG,67860.13,,2026-02-16 18:00:00,,,399.9,0.0,0.0,0.0,1,599.84,999.34,1000.0,-0.07,-0.26,1,-0.07,,
BTC/USDT,2026-02-16 19:00:00,SHORT,0.0,67913.43,0.0,1.0,False,2,CLOSE,LONG,67860.13,67913.43,2026-02-16 18:00:00,2026-02-16 19:00:00,1.0,399.9,0.0785,-0.49,0.3998,1,599.55,998.85,1000.0,-0.11,-0.75,2,-0.11,,
BTC/USDT,2026-02-16 19:00:00,SHORT,0.0,67913.43,0.0,1.0,False,3,OPEN,SHORT,67913.43,,2026-02-16 19:00:00,,,399.7,0.0,0.0,0.0,1,599.55,998.85,1000.0,-0.11,-0.75,2,-0.11,,
BTC/USDT,2026-02-16 20:00:00,LONG,1.0,68530.0,1.0,1.0,True,3,CLOSE,SHORT,67913.43,68530.0,2026-02-16 19:00:00,2026-02-16 20:00:00,1.0,399.7,-0.9079,-4.42,0.3957,1,596.9,994.43,1000.0,-0.56,-5.17,3,-0.56,,
BTC/USDT,2026-02-16 20:00:00,LONG,1.0,68530.0,1.0,1.0,True,4,OPEN,LONG,68530.0,,2026-02-16 20:00:00,,,397.93,0.0,0.0,0.0,1,596.9,994.43,1000.0,-0.56,-5.17,3,-0.56,,
BTC/USDT,2026-02-16 21:00:00,SHORT,0.0,68862.88,0.0,0.0,True,4,CLOSE,LONG,68530.0,68862.88,2026-02-16 20:00:00,2026-02-16 21:00:00,1.0,397.93,0.4857,1.13,0.3995,1,597.58,995.57,1000.0,-0.44,-4.03,4,-0.44,,
BTC/USDT,2026-02-16 21:00:00,SHORT,0.0,68862.88,0.0,0.0,True,5,OPEN,SHORT,68862.88,,2026-02-16 21:00:00,,,398.39,0.0,0.0,0.0,1,597.58,995.57,1000.0,-0.44,-4.03,4,-0.44,,
BTC/USDT,2026-02-16 22:00:00,LONG,1.0,68591.02,1.0,1.0,True,5,CLOSE,SHORT,68862.88,68591.02,2026-02-16 21:00:00,2026-02-16 22:00:00,1.0,398.39,0.3948,0.77,0.3996,1,598.04,996.34,1000.0,-0.37,-3.26,5,-0.37,,
