symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2026-02-18 06:00:00,SHORT,0.0,67850.52,0.0,1.0,False,1,OPEN,SHORT,67850.52,,2026-02-18 06:00:00,,,400.0,0.0,0.0,0.0,1,600.0,999.6,1000.0,-0.04,0.0,0,-0.04,HIGH_VOL,
BTC/USDT,2026-02-18 07:00:00,LONG,1.0,68106.44,1.0,1.0,True,1,CLOSE,SHORT,67850.52,68106.44,2026-02-18 06:00:00,2026-02-18 07:00:00,1.0,400.0,-0.3772,-2.31,0.3981,1,598.62,997.3,1000.0,-0.27,-2.31,1,-0.27,HIGH_VOL,
BTC/USDT,2026-02-18 07:00:00,LONG,1.0,68106.44,1.0,1.0,True,2,OPEN,LONG,68106.44,,2026-02-18 07:00:00,,,399.08,0.0,0.0,0.0,1,598.62,997.3,1000.0,-0.27,-2.31,1,-0.27,HIGH_VOL,
BTC/USDT,2026-02-18 08:00:00,SHORT,0.0,68132.82,0.0,1.0,False,2,CLOSE,LONG,68106.44,68132.82,2026-02-18 07:00:00,2026-02-18 08:00:00,1.0,399.08,0.0387,-0.64,0.3988,1,598.23,996.65,1000.0,-0.33,-2.95,2,-0.33,HIGH_VOL,
BTC/USDT,2026-02-18 08:00:00,SHORT,0.0,68132.82,0.0,1.0,False,3,OPEN,SHORT,68132.82,,2026-02-18 08:00:00,,,398.82,0.0,0.0,0.0,1,598.23,996.65,1000.0,-0.33,-2.95,2,-0.33,HIGH_VOL,
BTC/USDT,2026-02-18 09:00:00,LONG,1.0,68157.79,1.0,0.0,False,3,CLOSE,SHORT,68132.82,68157.79,2026-02-18 08:00:00,2026-02-18 09:00:00,1.0,398.82,-0.0366,-0.94,0.3983,1,597.66,995.71,1000.0,-0.43,-3.89,3,-0.43,HIGH_VOL,
BTC/USDT,2026-02-18 09:00:00,LONG,1.0,68157.79,1.0,0.0,False,4,OPEN,LONG,68157.79,,2026-02-18 09:00:00,,,398.44,0.0,0.0,0.0,1,597.66,995.71,1000.0,-0.43,-3.89,3,-0.43,HIGH_VOL,
BTC/USDT,2026-02-18 10:00:00,SHORT,0.0,67801.26,0.0,0.0,True,4,CLOSE,LONG,68157.79,67801.26,2026-02-18 09:00:00,2026-02-18 10:00:00,1.0,398.44,-0.5231,-2.88,0.396,1,595.94,992.83,1000.0,-0.72,-6.77,4,-0.72,HIGH_VOL,
BTC/USDT,2026-02-18 10:00:00,SHORT,0.0,67801.26,0.0,0.0,True,5,OPEN,SHORT,67801.26,,2026-02-18 10:00:00,,,397.29,0.0,0.0,0.0,1,595.94,992.83,1000.0,-0.72,-6.77,4,-0.72,HIGH_VOL,
BTC/USDT,2026-02-18 11:00:00,LONG,1.0,67369.75,1.0,1.0,True,5,CLOSE,SHORT,67801.26,67369.75,2026-02-18 10:00:00,2026-02-18 11:00:00,1.0,397.29,0.6364,1.73,0.3994,1,596.98,994.56,1000.0,-0.54,-5.04,5,-0.54,HIGH_VOL,
BTC/USDT,2026-02-18 11:00:00,LONG,1.0,67369.75,1.0,1.0,True,6,OPEN,LONG,67369.75,,2026-02-18 11:00:00,,,397.98,0.0,0.0,0.0,1,596.98,994.56,1000.0,-0.54,-5.04,5,-0.54,HIGH_VOL,
BTC/USDT,2026-02-18 12:00:00,SHORT,0.0,67458.06,0.0,0.0,True,6,CLOSE,LONG,67369.75,67458.06,2026-02-18 11:00:00,2026-02-18 12:00:00,1.0,397.98,0.1311,-0.27,0.3981,1,596.81,994.29,1000.0,-0.57,-5.31,6,-0.57,HIGH_VOL,
BTC/USDT,2026-02-18 12:00:00,SHORT,0.0,67458.06,0.0,0.0,True,7,OPEN,SHORT,67458.06,,2026-02-18 12:00:00,,,397.87,0.0,0.0,0.0,1,596.81,994.29,1000.0,-0.57,-5.31,6,-0.57,HIGH_VOL,
BTC/USDT,2026-02-18 13:00:00,LONG,1.0,67236.88,1.0,0.0,False,7,CLOSE,SHORT,67458.06,67236.88,2026-02-18 12:00:00,2026-02-18 13:00:00,1.0,397.87,0.3279,0.51,0.3988,1,597.12,994.79,1000.0,-0.52,-4.81,7,-0.52,HIGH_VOL,
BTC/USDT,2026-02-18 13:00:00,LONG,1.0,67236.88,1.0,0.0,False,8,OPEN,LONG,67236.88,,2026-02-18 13:00:00,,,398.08,0.0,0.0,0.0,1,597.12,994.79,1000.0,-0.52,-4.81,7,-0.52,HIGH_VOL,
BTC/USDT,2026-02-18 14:00:00,SHORT,0.0,67223.76,0.0,1.0,False,8,CLOSE,LONG,67236.88,67223.76,2026-02-18 13:00:00,2026-02-18 14:00:00,1.0,398.08,-0.0195,-0.87,0.3976,1,596.59,993.92,1000.0,-0.61,-5.68,8,-0.61,HIGH_VOL,
BTC/USDT,2026-02-18 14:00:00,SHORT,0.0,67223.76,0.0,1.0,False,9,OPEN,SHORT,67223.76,,2026-02-18 14:00:00,,,397.73,0.0,0.0,0.0,1,596.59,993.92,1000.0,-0.61,-5.68,8,-0.61,HIGH_VOL,
BTC/USDT,2026-02-18 15:00:00,LONG,1.0,67694.01,1.0,0.0,False,9,CLOSE,SHORT,67223.76,67694.01,2026-02-18 14:00:00,2026-02-18 15:00:00,1.0,397.73,-0.6995,-3.57,0.3946,1,594.45,990.35,1000.0,-0.96,-9.25,9,-0.96,HIGH_VOL,
BTC/USDT,2026-02-18 15:00:00,LONG,1.0,67694.01,1.0,0.0,False,10,OPEN,LONG,67694.01,,2026-02-18 15:00:00,,,396.3,0.0,0.0,0.0,1,594.45,990.35,1000.0,-0.96,-9.25,9,-0.96,HIGH_VOL,
BTC/USDT,2026-02-18 16:00:00,SHORT,0.0,67145.34,0.0,1.0,False,10,CLOSE,LONG,67694.01,67145.34,2026-02-18 15:00:00,2026-02-18 16:00:00,1.0,396.3,-0.8105,-4.0,0.3927,1,592.05,986.35,1000.0,-1.36,-13.25,10,-1.36,HIGH_VOL,
BTC/USDT,2026-02-18 16:00:00,SHORT,0.0,67145.34,0.0,1.0,False,11,OPEN,SHORT,67145.34,,2026-02-18 16:00:00,,,394.7,0.0,0.0,0.0,1,592.05,986.35,1000.0,-1.36,-13.25,10,-1.36,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,1.0,67187.39,1.0,0.0,False,11,CLOSE,SHORT,67145.34,67187.39,2026-02-18 16:00:00,2026-02-18 17:00:00,1.0,394.7,-0.0626,-1.04,0.3941,1,591.43,985.32,1000.0,-1.47,-14.29,11,-1.47,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,1.0,67187.39,1.0,0.0,False,12,OPEN,LONG,67187.39,,2026-02-18 17:00:00,,,394.29,0.0,0.0,0.0,1,591.43,985.32,1000.0,-1.47,-14.29,11,-1.47,HIGH_VOL,
BTC/USDT,2026-02-18 18:00:00,SHORT,0.0,66359.99,0.0,0.0,True,12,CLOSE,LONG,67187.39,66359.99,2026-02-18 17:00:00,2026-02-18 18:00:00,1.0,394.29,-1.2315,-5.63,0.389,1,588.05,979.69,1000.0,-2.03,-19.92,12,-2.03,HIGH_VOL,
BTC/USDT,2026-02-18 18:00:00,SHORT,0.0,66359.99,0.0,0.0,True,13,OPEN,SHORT,66359.99,,2026-02-18 18:00:00,,,392.03,0.0,0.0,0.0,1,588.05,979.69,1000.0,-2.03,-19.92,12,-2.03,HIGH_VOL,
BTC/USDT,2026-02-18 19:00:00,LONG,1.0,66177.14,1.0,1.0,True,13,CLOSE,SHORT,66359.99,66177.14,2026-02-18 18:00:00,2026-02-18 19:00:00,1.0,392.03,0.2755,0.29,0.3927,1,588.22,979.98,1000.0,-2.0,-19.63,13,-2.0,HIGH_VOL,
BTC/USDT,2026-02-18 19:00:00,LONG,1.0,66177.14,1.0,1.0,True,14,OPEN,LONG,66177.14,,2026-02-18 19:00:00,,,392.15,0.0,0.0,0.0,1,588.22,979.98,1000.0,-2.0,-19.63,13,-2.0,HIGH_VOL,
BTC/USDT,2026-02-18 20:00:00,SHORT,0.0,66268.39,0.0,1.0,False,14,CLOSE,LONG,66177.14,66268.39,2026-02-18 19:00:00,2026-02-18 20:00:00,1.0,392.15,0.1379,-0.24,0.3923,1,588.08,979.74,1000.0,-2.03,-19.87,14,-2.03,HIGH_VOL,
BTC/USDT,2026-02-18 20:00:00,SHORT,0.0,66268.39,0.0,1.0,False,15,OPEN,SHORT,66268.39,,2026-02-18 20:00:00,,,392.05,0.0,0.0,0.0,1,588.08,979.74,1000.0,-2.03,-19.87,14,-2.03,HIGH_VOL,
BTC/USDT,2026-02-18 21:00:00,SHORT,0.0,66342.76,0.0,1.0,False,16,OPEN,SHORT,66342.76,,2026-02-18 21:00:00,,,235.23,0.0,0.0,0.0,2,352.85,979.06,1000.0,-2.09,-19.87,14,-2.09,HIGH_VOL,
BTC/USDT,2026-02-18 22:00:00,SHORT,0.0,66408.82,0.0,1.0,False,17,OPEN,SHORT,66408.82,,2026-02-18 22:00:00,,,141.14,0.0,0.0,0.0,3,211.71,978.3,1000.0,-2.17,-19.87,14,-2.17,HIGH_VOL,
BTC/USDT,2026-02-18 23:00:00,SHORT,0.0,66461.0,0.0,0.0,True,18,OPEN,SHORT,66461.0,,2026-02-18 23:00:00,,,84.68,0.0,0.0,0.0,4,127.02,977.61,1000.0,-2.24,-19.87,14,-2.24,HIGH_VOL,
BTC/USDT,2026-02-19 00:00:00,SHORT,0.0,66446.49,0.0,1.0,False,19,OPEN,SHORT,66446.49,,2026-02-19 00:00:00,,,50.81,0.0,0.0,0.0,5,76.21,977.74,1000.0,-2.23,-19.87,14,-2.23,HIGH_VOL,
BTC/USDT,2026-02-19 01:00:00,SHORT,0.0,66866.62,0.0,0.0,True,20,OPEN,SHORT,66866.62,,2026-02-19 01:00:00,,,30.49,0.0,0.0,0.0,6,45.73,972.0,1000.0,-2.8,-19.87,14,-2.8,HIGH_VOL,
BTC/USDT,2026-02-19 02:00:00,SHORT,0.0,66835.2,0.0,1.0,False,21,OPEN,SHORT,66835.2,,2026-02-19 02:00:00,,,18.29,0.0,0.0,0.0,7,27.44,972.42,1000.0,-2.76,-19.87,14,-2.76,HIGH_VOL,
BTC/USDT,2026-02-19 03:00:00,SHORT,0.0,66980.91,0.0,0.0,True,22,OPEN,SHORT,66980.91,,2026-02-19 03:00:00,,,10.97,0.0,0.0,0.0,8,16.46,970.32,1000.0,-2.97,-19.87,14,-2.97,HIGH_VOL,
BTC/USDT,2026-02-19 04:00:00,SHORT,0.0,66802.75,0.0,1.0,False,23,OPEN,SHORT,66802.75,,2026-02-19 04:00:00,,,6.58,0.0,0.0,0.0,9,9.88,972.9,1000.0,-2.71,-19.87,14,-2.71,HIGH_VOL,
BTC/USDT,2026-02-19 05:00:00,SHORT,0.0,66871.35,0.0,1.0,False,24,OPEN,SHORT,66871.35,,2026-02-19 05:00:00,,,3.95,0.0,0.0,0.0,10,5.93,971.89,1000.0,-2.81,-19.87,14,-2.81,HIGH_VOL,
BTC/USDT,2026-02-19 06:00:00,SHORT,0.0,67150.12,0.0,1.0,False,25,OPEN,SHORT,67150.12,,2026-02-19 06:00:00,,,2.37,0.0,0.0,0.0,11,3.56,967.8,1000.0,-3.22,-19.87,14,-3.22,HIGH_VOL,
BTC/USDT,2026-02-19 07:00:00,SHORT,0.0,67206.45,0.0,0.0,True,26,OPEN,SHORT,67206.45,,2026-02-19 07:00:00,,,1.42,0.0,0.0,0.0,12,2.13,966.97,1000.0,-3.3,-19.87,14,-3.3,HIGH_VOL,
BTC/USDT,2026-02-19 08:00:00,SHORT,0.0,66966.12,0.0,0.0,True,27,OPEN,SHORT,66966.12,,2026-02-19 08:00:00,,,0.85,0.0,0.0,0.0,13,1.28,970.51,1000.0,-2.95,-19.87,14,-2.95,HIGH_VOL,
BTC/USDT,2026-02-19 09:00:00,SHORT,0.0,66836.0,0.0,1.0,False,28,OPEN,SHORT,66836.0,,2026-02-19 09:00:00,,,0.51,0.0,0.0,0.0,14,0.77,972.42,1000.0,-2.76,-19.87,14,-2.76,HIGH_VOL,
BTC/USDT,2026-02-19 10:00:00,SHORT,0.0,66843.08,0.0,0.0,True,29,OPEN,SHORT,66843.08,,2026-02-19 10:00:00,,,0.31,0.0,0.0,0.0,15,0.46,972.32,1000.0,-2.77,-19.87,14,-2.77,HIGH_VOL,
BTC/USDT,2026-02-19 11:00:00,SHORT,0.0,66496.02,0.0,1.0,False,30,OPEN,SHORT,66496.02,,2026-02-19 11:00:00,,,0.18,0.0,0.0,0.0,16,0.28,977.44,1000.0,-2.26,-19.87,14,-2.26,HIGH_VOL,
BTC/USDT,2026-02-19 12:00:00,SHORT,0.0,66516.67,0.0,0.0,True,31,OPEN,SHORT,66516.67,,2026-02-19 12:00:00,,,0.11,0.0,0.0,0.0,17,0.17,977.13,1000.0,-2.29,-19.87,14,-2.29,HIGH_VOL,
BTC/USDT,2026-02-19 13:00:00,SHORT,0.0,65913.37,0.0,1.0,False,25,TAKE_PROFIT,SHORT,67150.12,65913.37,2026-02-19 06:00:00,2026-02-19 13:00:00,7.0,2.37,1.8418,0.04,0.0024,16,2.41,986.02,1000.0,-1.4,-19.83,15,-1.4,HIGH_VOL,
BTC/USDT,2026-02-19 13:00:00,SHORT,0.0,65913.37,0.0,1.0,False,26,TAKE_PROFIT,SHORT,67206.45,65913.37,2026-02-19 07:00:00,2026-02-19 13:00:00,6.0,1.42,1.924,0.02,0.0014,16,2.41,986.02,1000.0,-1.4,-19.81,16,-1.4,HIGH_VOL,
BTC/USDT,2026-02-19 13:00:00,SHORT,0.0,65913.37,0.0,1.0,False,32,OPEN,SHORT,65913.37,,2026-02-19 13:00:00,,,1.61,0.0,0.0,0.0,16,2.41,986.02,1000.0,-1.4,-19.81,16,-1.4,HIGH_VOL,
BTC/USDT,2026-02-19 14:00:00,SHORT,0.0,66421.2,0.0,0.0,True,33,OPEN,SHORT,66421.2,,2026-02-19 14:00:00,,,0.97,0.0,0.0,0.0,17,1.45,978.55,1000.0,-2.15,-19.81,16,-2.15,HIGH_VOL,
BTC/USDT,2026-02-19 15:00:00,SHORT,0.0,66398.0,0.0,0.0,True,34,OPEN,SHORT,66398.0,,2026-02-19 15:00:00,,,0.58,0.0,0.0,0.0,18,0.87,978.89,1000.0,-2.11,-19.81,16,-2.11,HIGH_VOL,
BTC/USDT,2026-02-19 16:00:00,SHORT,0.0,66293.53,0.0,1.0,False,35,OPEN,SHORT,66293.53,,2026-02-19 16:00:00,,,0.35,0.0,0.0,0.0,19,0.52,980.43,1000.0,-1.96,-19.81,16,-1.96,HIGH_VOL,
BTC/USDT,2026-02-19 17:00:00,SHORT,0.0,66369.42,0.0,1.0,False,36,OPEN,SHORT,66369.42,,2026-02-19 17:00:00,,,0.21,0.0,0.0,0.0,20,0.31,979.31,1000.0,-2.07,-19.81,16,-2.07,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,20,STOP_LOSS,SHORT,66866.62,67030.49,2026-02-19 01:00:00,2026-02-19 18:00:00,17.0,30.49,-0.2451,-0.14,0.0304,10,44.3,969.46,1000.0,-3.05,-19.94,17,-3.05,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,21,STOP_LOSS,SHORT,66835.2,67030.49,2026-02-19 02:00:00,2026-02-19 18:00:00,16.0,18.29,-0.2922,-0.09,0.0182,10,44.3,969.46,1000.0,-3.05,-20.03,18,-3.05,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,22,STOP_LOSS,SHORT,66980.91,67030.49,2026-02-19 03:00:00,2026-02-19 18:00:00,15.0,10.97,-0.074,-0.03,0.011,10,44.3,969.46,1000.0,-3.05,-20.06,19,-3.05,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,23,STOP_LOSS,SHORT,66802.75,67030.49,2026-02-19 04:00:00,2026-02-19 18:00:00,14.0,6.58,-0.3409,-0.04,0.0066,10,44.3,969.46,1000.0,-3.05,-20.1,20,-3.05,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,24,STOP_LOSS,SHORT,66871.35,67030.49,2026-02-19 05:00:00,2026-02-19 18:00:00,13.0,3.95,-0.238,-0.02,0.0039,10,44.3,969.46,1000.0,-3.05,-20.11,21,-3.05,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,27,STOP_LOSS,SHORT,66966.12,67030.49,2026-02-19 08:00:00,2026-02-19 18:00:00,10.0,0.85,-0.0961,-0.0,0.0009,10,44.3,969.46,1000.0,-3.05,-20.12,22,-3.05,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,28,STOP_LOSS,SHORT,66836.0,67030.49,2026-02-19 09:00:00,2026-02-19 18:00:00,9.0,0.51,-0.291,-0.0,0.0005,10,44.3,969.46,1000.0,-3.05,-20.12,23,-3.05,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,29,STOP_LOSS,SHORT,66843.08,67030.49,2026-02-19 10:00:00,2026-02-19 18:00:00,8.0,0.31,-0.2804,-0.0,0.0003,10,44.3,969.46,1000.0,-3.05,-20.12,24,-3.05,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,SHORT,0.0,67030.49,0.0,1.0,False,30,STOP_LOSS,SHORT,66496.02,67030.49,2026-02-19 11:00:00,2026-02-19 18:00:00,7.0,0.18,-0.8038,-0.0,0.0002,10,44.3,969.46,1000.0,-3.05,-20.12,25,-3.05,HIGH_VOL,
