symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2026-02-18 06:00:00,HOLD,0.49828699231147766,67850.52,0.0,1.0,False,0,HOLD,,67850.52,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,
BTC/USDT,2026-02-18 07:00:00,HOLD,0.49195700883865356,68106.44,0.0,1.0,False,0,HOLD,,68106.44,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,
BTC/USDT,2026-02-18 08:00:00,HOLD,0.4887259900569916,68132.82,0.0,1.0,False,0,HOLD,,68132.82,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,
BTC/USDT,2026-02-18 09:00:00,HOLD,0.48534199595451355,68157.79,0.0,0.0,True,0,HOLD,,68157.79,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,
BTC/USDT,2026-02-18 10:00:00,SHORT,0.48403799533843994,67801.26,0.0,0.0,True,1,OPEN,SHORT,67801.26,,2026-02-18 10:00:00,,,15.96,0.0,0.0,0.0,1,984.04,999.98,1000.0,-0.0,0.0,0,-0.0,HIGH_VOL,
BTC/USDT,2026-02-18 11:00:00,HOLD,0.48470500111579895,67369.75,0.0,1.0,False,0,HOLD,,67369.75,,,,,0.0,0.0,0.0,0.0,1,984.04,1000.09,1000.09,0.0,0.0,0,0.01,HIGH_VOL,
BTC/USDT,2026-02-18 12:00:00,SHORT,0.48017001152038574,67458.06,0.0,0.0,True,2,OPEN,SHORT,67458.06,,2026-02-18 12:00:00,,,19.51,0.0,0.0,0.0,2,964.52,1000.05,1000.09,-0.0,0.0,0,0.0,HIGH_VOL,
BTC/USDT,2026-02-18 13:00:00,SHORT,0.4782879948616028,67236.88,0.0,0.0,True,3,OPEN,SHORT,67236.88,,2026-02-18 13:00:00,,,20.94,0.0,0.0,0.0,3,943.58,1000.14,1000.14,0.0,0.0,0,0.01,HIGH_VOL,
BTC/USDT,2026-02-18 14:00:00,SHORT,0.47604599595069885,67223.76,0.0,1.0,False,4,OPEN,SHORT,67223.76,,2026-02-18 14:00:00,,,22.6,0.0,0.0,0.0,4,920.98,1000.13,1000.14,-0.0,0.0,0,0.01,HIGH_VOL,
BTC/USDT,2026-02-18 15:00:00,SHORT,0.4696739912033081,67694.01,0.0,0.0,True,5,OPEN,SHORT,67694.01,,2026-02-18 15:00:00,,,27.93,0.0,0.0,0.0,5,893.05,999.55,1000.14,-0.06,0.0,0,-0.05,HIGH_VOL,
BTC/USDT,2026-02-18 16:00:00,SHORT,0.47536998987197876,67145.34,0.0,1.0,False,6,OPEN,SHORT,67145.34,,2026-02-18 16:00:00,,,22.0,0.0,0.0,0.0,6,871.06,1000.4,1000.4,0.0,0.0,0,0.04,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,SHORT,0.4784109890460968,67187.39,0.0,0.0,True,7,OPEN,SHORT,67187.39,,2026-02-18 17:00:00,,,18.81,0.0,0.0,0.0,7,852.25,1000.3,1000.4,-0.01,0.0,0,0.03,HIGH_VOL,
BTC/USDT,2026-02-18 18:00:00,SHORT,0.47954100370407104,66359.99,0.0,0.0,True,1,TAKE_PROFIT,SHORT,67801.26,66359.99,2026-02-18 10:00:00,2026-02-18 18:00:00,8.0,15.96,2.1257,0.31,0.0163,7,850.75,1002.08,1002.08,0.0,0.31,1,0.21,HIGH_VOL,
BTC/USDT,2026-02-18 18:00:00,SHORT,0.47954100370407104,66359.99,0.0,0.0,True,8,OPEN,SHORT,66359.99,,2026-02-18 18:00:00,,,17.77,0.0,0.0,0.0,7,850.75,1002.08,1002.08,0.0,0.31,1,0.21,HIGH_VOL,
BTC/USDT,2026-02-18 19:00:00,SHORT,0.47798898816108704,66177.14,0.0,1.0,False,2,TAKE_PROFIT,SHORT,67458.06,66177.14,2026-02-18 12:00:00,2026-02-18 19:00:00,7.0,19.51,1.8988,0.33,0.0199,6,879.3,1002.41,1002.41,0.0,0.64,2,0.24,HIGH_VOL,
BTC/USDT,2026-02-18 19:00:00,SHORT,0.47798898816108704,66177.14,0.0,1.0,False,5,TAKE_PROFIT,SHORT,67694.01,66177.14,2026-02-18 15:00:00,2026-02-18 19:00:00,4.0,27.93,2.2408,0.57,0.0285,6,879.3,1002.41,1002.41,0.0,1.21,3,0.24,HIGH_VOL,
BTC/USDT,2026-02-18 19:00:00,SHORT,0.47798898816108704,66177.14,0.0,1.0,False,9,OPEN,SHORT,66177.14,,2026-02-18 19:00:00,,,19.79,0.0,0.0,0.0,6,879.3,1002.41,1002.41,0.0,1.21,3,0.24,HIGH_VOL,
BTC/USDT,2026-02-18 20:00:00,SHORT,0.4787069857120514,66268.39,0.0,1.0,False,10,OPEN,SHORT,66268.39,,2026-02-18 20:00:00,,,18.72,0.0,0.0,0.0,7,860.58,1002.23,1002.41,-0.02,1.21,3,0.22,HIGH_VOL,
BTC/USDT,2026-02-18 21:00:00,SHORT,0.48215898871421814,66342.76,0.0,1.0,False,11,OPEN,SHORT,66342.76,,2026-02-18 21:00:00,,,15.35,0.0,0.0,0.0,8,845.23,1002.06,1002.41,-0.04,1.21,3,0.21,HIGH_VOL,
BTC/USDT,2026-02-18 22:00:00,HOLD,0.4883730113506317,66408.82,0.0,1.0,False,0,HOLD,,66408.82,,,,,0.0,0.0,0.0,0.0,8,845.23,1001.9,1002.41,-0.05,1.21,3,0.19,HIGH_VOL,
BTC/USDT,2026-02-18 23:00:00,HOLD,0.4932200014591217,66461.0,0.0,0.0,True,0,HOLD,,66461.0,,,,,0.0,0.0,0.0,0.0,8,845.23,1001.78,1002.41,-0.06,1.21,3,0.18,HIGH_VOL,
BTC/USDT,2026-02-19 00:00:00,HOLD,0.4963800013065338,66446.49,0.0,1.0,False,0,HOLD,,66446.49,,,,,0.0,0.0,0.0,0.0,8,845.23,1001.82,1002.41,-0.06,1.21,3,0.18,HIGH_VOL,
BTC/USDT,2026-02-19 01:00:00,HOLD,0.4932839870452881,66866.62,0.0,0.0,True,0,HOLD,,66866.62,,,,,0.0,0.0,0.0,0.0,8,845.23,1000.83,1002.41,-0.16,1.21,3,0.08,HIGH_VOL,
BTC/USDT,2026-02-19 02:00:00,HOLD,0.4885829985141754,66835.2,0.0,1.0,False,0,HOLD,,66835.2,,,,,0.0,0.0,0.0,0.0,8,845.23,1000.91,1002.41,-0.15,1.21,3,0.09,HIGH_VOL,
BTC/USDT,2026-02-19 03:00:00,HOLD,0.4876909852027893,66980.91,0.0,0.0,True,0,HOLD,,66980.91,,,,,0.0,0.0,0.0,0.0,8,845.23,1000.57,1002.41,-0.18,1.21,3,0.06,HIGH_VOL,
BTC/USDT,2026-02-19 04:00:00,HOLD,0.48795801401138306,66802.75,0.0,1.0,False,0,HOLD,,66802.75,,,,,0.0,0.0,0.0,0.0,8,845.23,1000.98,1002.41,-0.14,1.21,3,0.1,HIGH_VOL,
BTC/USDT,2026-02-19 05:00:00,HOLD,0.48835599422454834,66871.35,0.0,1.0,False,0,HOLD,,66871.35,,,,,0.0,0.0,0.0,0.0,8,845.23,1000.82,1002.41,-0.16,1.21,3,0.08,HIGH_VOL,
BTC/USDT,2026-02-19 06:00:00,HOLD,0.49015501141548157,67150.12,0.0,1.0,False,3,STOP_LOSS,SHORT,67236.88,67150.12,2026-02-18 13:00:00,2026-02-19 06:00:00,17.0,20.94,0.129,-0.01,0.0209,6,888.73,1000.13,1002.41,-0.23,1.19,4,0.01,HIGH_VOL,
