symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2026-02-18 06:00:00,SHORT,0.4379200041294098,67850.52,0.0,1.0,False,1,OPEN,SHORT,67850.52,,2026-02-18 06:00:00,,,62.08,0.0,0.0,0.0,1,937.92,999.94,1000.0,-0.01,0.0,0,-0.01,HIGH_VOL,
BTC/USDT,2026-02-18 07:00:00,SHORT,0.37079501152038574,68106.44,0.0,1.0,False,2,OPEN,SHORT,68106.44,,2026-02-18 07:00:00,,,121.18,0.0,0.0,0.0,2,816.74,999.58,1000.0,-0.04,0.0,0,-0.04,HIGH_VOL,
BTC/USDT,2026-02-18 08:00:00,SHORT,0.40899500250816345,68132.82,0.0,1.0,False,3,OPEN,SHORT,68132.82,,2026-02-18 08:00:00,,,74.33,0.0,0.0,0.0,3,742.41,999.44,1000.0,-0.06,0.0,0,-0.06,HIGH_VOL,
BTC/USDT,2026-02-18 09:00:00,SHORT,0.4203769862651825,68157.79,0.0,0.0,True,4,OPEN,SHORT,68157.79,,2026-02-18 09:00:00,,,59.11,0.0,0.0,0.0,4,683.3,999.28,1000.0,-0.07,0.0,0,-0.07,HIGH_VOL,
BTC/USDT,2026-02-18 10:00:00,HOLD,0.46344101428985596,67801.26,0.0,0.0,True,0,HOLD,,67801.26,,,,,0.0,0.0,0.0,0.0,4,683.3,1000.94,1000.94,0.0,0.0,0,0.09,HIGH_VOL,
BTC/USDT,2026-02-18 11:00:00,HOLD,0.49025800824165344,67369.75,0.0,1.0,False,0,HOLD,,67369.75,,,,,0.0,0.0,0.0,0.0,4,683.3,1002.95,1002.95,0.0,0.0,0,0.29,HIGH_VOL,
BTC/USDT,2026-02-18 12:00:00,HOLD,0.45786699652671814,67458.06,0.0,0.0,True,0,HOLD,,67458.06,,,,,0.0,0.0,0.0,0.0,4,683.3,1002.54,1002.95,-0.04,0.0,0,0.25,HIGH_VOL,
BTC/USDT,2026-02-18 13:00:00,SHORT,0.4104680120944977,67236.88,0.0,0.0,True,5,OPEN,SHORT,67236.88,,2026-02-18 13:00:00,,,61.18,0.0,0.0,0.0,5,622.12,1003.5,1003.5,0.0,0.0,0,0.35,HIGH_VOL,
BTC/USDT,2026-02-18 14:00:00,SHORT,0.43786299228668213,67223.76,0.0,1.0,False,6,OPEN,SHORT,67223.76,,2026-02-18 14:00:00,,,38.66,0.0,0.0,0.0,6,583.46,1003.54,1003.54,0.0,0.0,0,0.35,HIGH_VOL,
BTC/USDT,2026-02-18 15:00:00,HOLD,0.46208998560905457,67694.01,0.0,0.0,True,0,HOLD,,67694.01,,,,,0.0,0.0,0.0,0.0,6,583.46,1000.65,1003.54,-0.29,0.0,0,0.07,HIGH_VOL,
BTC/USDT,2026-02-18 16:00:00,HOLD,0.5441449880599976,67145.34,1.0,1.0,True,0,HOLD,,67145.34,,,,,0.0,0.0,0.0,0.0,6,583.46,1004.02,1004.02,0.0,0.0,0,0.4,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,0.5849760174751282,67187.39,1.0,0.0,False,1,CLOSE,SHORT,67850.52,67187.39,2026-02-18 06:00:00,2026-02-18 17:00:00,11.0,62.08,0.9773,0.48,0.0626,1,918.08,1003.25,1004.02,-0.08,0.48,1,0.33,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,0.5849760174751282,67187.39,1.0,0.0,False,2,CLOSE,SHORT,68106.44,67187.39,2026-02-18 07:00:00,2026-02-18 17:00:00,10.0,121.18,1.3494,1.39,0.1227,1,918.08,1003.25,1004.02,-0.08,1.87,2,0.33,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,0.5849760174751282,67187.39,1.0,0.0,False,3,CLOSE,SHORT,68132.82,67187.39,2026-02-18 08:00:00,2026-02-18 17:00:00,9.0,74.33,1.3876,0.88,0.0753,1,918.08,1003.25,1004.02,-0.08,2.75,3,0.33,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,0.5849760174751282,67187.39,1.0,0.0,False,4,CLOSE,SHORT,68157.79,67187.39,2026-02-18 09:00:00,2026-02-18 17:00:00,8.0,59.11,1.4238,0.72,0.0599,1,918.08,1003.25,1004.02,-0.08,3.47,4,0.33,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,0.5849760174751282,67187.39,1.0,0.0,False,5,CLOSE,SHORT,67236.88,67187.39,2026-02-18 13:00:00,2026-02-18 17:00:00,4.0,61.18,0.0736,-0.08,0.0612,1,918.08,1003.25,1004.02,-0.08,3.4,5,0.33,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,0.5849760174751282,67187.39,1.0,0.0,False,6,CLOSE,SHORT,67223.76,67187.39,2026-02-18 14:00:00,2026-02-18 17:00:00,3.0,38.66,0.0541,-0.06,0.0386,1,918.08,1003.25,1004.02,-0.08,3.34,6,0.33,HIGH_VOL,
BTC/USDT,2026-02-18 17:00:00,LONG,0.5849760174751282,67187.39,1.0,0.0,False,7,OPEN,LONG,67187.39,,2026-02-18 17:00:00,,,85.26,0.0,0.0,0.0,1,918.08,1003.25,1004.02,-0.08,3.34,6,0.33,HIGH_VOL,
BTC/USDT,2026-02-18 18:00:00,LONG,0.6260780096054077,66359.99,1.0,0.0,False,8,OPEN,LONG,66359.99,,2026-02-18 18:00:00,,,115.75,0.0,0.0,0.0,2,802.33,1002.09,1004.02,-0.19,3.34,6,0.21,HIGH_VOL,
BTC/USDT,2026-02-18 19:00:00,LONG,0.6688939929008484,66177.14,1.0,1.0,True,9,OPEN,LONG,66177.14,,2026-02-18 19:00:00,,,135.51,0.0,0.0,0.0,3,666.82,1001.4,1004.02,-0.26,3.34,6,0.14,HIGH_VOL,
BTC/USDT,2026-02-18 20:00:00,HOLD,0.5456119775772095,66268.39,1.0,1.0,True,0,HOLD,,66268.39,,,,,0.0,0.0,0.0,0.0,3,666.82,1001.87,1004.02,-0.21,3.34,6,0.19,HIGH_VOL,
BTC/USDT,2026-02-18 21:00:00,HOLD,0.5644569993019104,66342.76,1.0,1.0,True,0,HOLD,,66342.76,,,,,0.0,0.0,0.0,0.0,3,666.82,1002.24,1004.02,-0.18,3.34,6,0.22,HIGH_VOL,
BTC/USDT,2026-02-18 22:00:00,HOLD,0.5354430079460144,66408.82,1.0,1.0,True,0,HOLD,,66408.82,,,,,0.0,0.0,0.0,0.0,3,666.82,1002.58,1004.02,-0.14,3.34,6,0.26,HIGH_VOL,
BTC/USDT,2026-02-18 23:00:00,SHORT,0.43267500400543213,66461.0,0.0,0.0,True,7,CLOSE,LONG,67187.39,66461.0,2026-02-18 17:00:00,2026-02-18 23:00:00,6.0,85.26,-1.0811,-1.09,0.0843,1,935.01,1002.44,1004.02,-0.16,2.25,7,0.24,HIGH_VOL,
BTC/USDT,2026-02-18 23:00:00,SHORT,0.43267500400543213,66461.0,0.0,0.0,True,8,CLOSE,LONG,66359.99,66461.0,2026-02-18 18:00:00,2026-02-18 23:00:00,5.0,115.75,0.1522,-0.06,0.1158,1,935.01,1002.44,1004.02,-0.16,2.19,8,0.24,HIGH_VOL,
BTC/USDT,2026-02-18 23:00:00,SHORT,0.43267500400543213,66461.0,0.0,0.0,True,9,CLOSE,LONG,66177.14,66461.0,2026-02-18 19:00:00,2026-02-18 23:00:00,4.0,135.51,0.4289,0.31,0.136,1,935.01,1002.44,1004.02,-0.16,2.5,9,0.24,HIGH_VOL,
BTC/USDT,2026-02-18 23:00:00,SHORT,0.43267500400543213,66461.0,0.0,0.0,True,10,OPEN,SHORT,66461.0,,2026-02-18 23:00:00,,,67.49,0.0,0.0,0.0,1,935.01,1002.44,1004.02,-0.16,2.5,9,0.24,HIGH_VOL,
BTC/USDT,2026-02-19 00:00:00,HOLD,0.46150800585746765,66446.49,0.0,1.0,False,0,HOLD,,66446.49,,,,,0.0,0.0,0.0,0.0,1,935.01,1002.45,1004.02,-0.16,2.5,9,0.25,HIGH_VOL,
BTC/USDT,2026-02-19 01:00:00,HOLD,0.5262929797172546,66866.62,1.0,0.0,False,0,HOLD,,66866.62,,,,,0.0,0.0,0.0,0.0,1,935.01,1002.02,1004.02,-0.2,2.5,9,0.2,HIGH_VOL,
BTC/USDT,2026-02-19 02:00:00,LONG,0.5753099918365479,66835.2,1.0,1.0,True,10,CLOSE,SHORT,66461.0,66835.2,2026-02-18 23:00:00,2026-02-19 02:00:00,3.0,67.49,-0.563,-0.51,0.067,1,926.53,1001.91,1004.02,-0.21,1.99,10,0.19,HIGH_VOL,
BTC/USDT,2026-02-19 02:00:00,LONG,0.5753099918365479,66835.2,1.0,1.0,True,11,OPEN,LONG,66835.2,,2026-02-19 02:00:00,,,75.46,0.0,0.0,0.0,1,926.53,1001.91,1004.02,-0.21,1.99,10,0.19,HIGH_VOL,
BTC/USDT,2026-02-19 03:00:00,HOLD,0.5196629762649536,66980.91,1.0,0.0,False,0,HOLD,,66980.91,,,,,0.0,0.0,0.0,0.0,1,926.53,1002.08,1004.02,-0.19,1.99,10,0.21,HIGH_VOL,
BTC/USDT,2026-02-19 04:00:00,HOLD,0.45364201068878174,66802.75,0.0,1.0,False,0,HOLD,,66802.75,,,,,0.0,0.0,0.0,0.0,1,926.53,1001.88,1004.02,-0.21,1.99,10,0.19,HIGH_VOL,
BTC/USDT,2026-02-19 05:00:00,HOLD,0.4555869996547699,66871.35,0.0,1.0,False,0,HOLD,,66871.35,,,,,0.0,0.0,0.0,0.0,1,926.53,1001.95,1004.02,-0.21,1.99,10,0.2,HIGH_VOL,
BTC/USDT,2026-02-19 06:00:00,SHORT,0.36595600843429565,67150.12,0.0,1.0,False,11,CLOSE,LONG,66835.2,67150.12,2026-02-19 02:00:00,2026-02-19 06:00:00,4.0,75.46,0.4712,0.2,0.0757,1,867.85,1002.06,1004.02,-0.2,2.19,11,0.21,HIGH_VOL,
BTC/USDT,2026-02-19 06:00:00,SHORT,0.36595600843429565,67150.12,0.0,1.0,False,12,OPEN,SHORT,67150.12,,2026-02-19 06:00:00,,,134.34,0.0,0.0,0.0,1,867.85,1002.06,1004.02,-0.2,2.19,11,0.21,HIGH_VOL,
BTC/USDT,2026-02-19 07:00:00,HOLD,0.46456998586654663,67206.45,0.0,0.0,True,0,HOLD,,67206.45,,,,,0.0,0.0,0.0,0.0,1,867.85,1001.95,1004.02,-0.21,2.19,11,0.19,HIGH_VOL,
BTC/USDT,2026-02-19 08:00:00,SHORT,0.38775399327278137,66966.12,0.0,0.0,True,13,OPEN,SHORT,66966.12,,2026-02-19 08:00:00,,,97.41,0.0,0.0,0.0,2,770.44,1002.33,1004.02,-0.17,2.19,11,0.23,HIGH_VOL,
BTC/USDT,2026-02-19 09:00:00,SHORT,0.44797399640083313,66836.0,0.0,1.0,False,14,OPEN,SHORT,66836.0,,2026-02-19 09:00:00,,,40.08,0.0,0.0,0.0,3,730.36,1002.74,1004.02,-0.13,2.19,11,0.27,HIGH_VOL,
BTC/USDT,2026-02-19 10:00:00,SHORT,0.4497230052947998,66843.08,0.0,0.0,True,15,OPEN,SHORT,66843.08,,2026-02-19 10:00:00,,,36.72,0.0,0.0,0.0,4,693.64,1002.67,1004.02,-0.13,2.19,11,0.27,HIGH_VOL,
BTC/USDT,2026-02-19 11:00:00,HOLD,0.4622969925403595,66496.02,0.0,1.0,False,0,HOLD,,66496.02,,,,,0.0,0.0,0.0,0.0,4,693.64,1004.27,1004.27,0.0,2.19,11,0.43,HIGH_VOL,
BTC/USDT,2026-02-19 12:00:00,HOLD,0.499098002910614,66516.67,0.0,0.0,True,0,HOLD,,66516.67,,,,,0.0,0.0,0.0,0.0,4,693.64,1004.17,1004.27,-0.01,2.19,11,0.42,HIGH_VOL,
BTC/USDT,2026-02-19 13:00:00,SHORT,0.44957199692726135,65913.37,0.0,1.0,False,12,TAKE_PROFIT,SHORT,67150.12,65913.37,2026-02-19 06:00:00,2026-02-19 13:00:00,7.0,134.34,1.8418,2.2,0.1367,4,788.31,1006.77,1006.77,0.0,4.39,12,0.68,HIGH_VOL,
BTC/USDT,2026-02-19 13:00:00,SHORT,0.44957199692726135,65913.37,0.0,1.0,False,16,OPEN,SHORT,65913.37,,2026-02-19 13:00:00,,,41.86,0.0,0.0,0.0,4,788.31,1006.77,1006.77,0.0,4.39,12,0.68,HIGH_VOL,
BTC/USDT,2026-02-19 14:00:00,HOLD,0.5327159762382507,66421.2,1.0,0.0,False,0,HOLD,,66421.2,,,,,0.0,0.0,0.0,0.0,4,788.31,1005.13,1006.77,-0.16,4.39,12,0.51,HIGH_VOL,
BTC/USDT,2026-02-19 15:00:00,HOLD,0.4777719974517822,66398.0,0.0,0.0,True,0,HOLD,,66398.0,,,,,0.0,0.0,0.0,0.0,4,788.31,1005.2,1006.77,-0.16,4.39,12,0.52,HIGH_VOL,
BTC/USDT,2026-02-19 16:00:00,HOLD,0.5502030253410339,66293.53,1.0,1.0,True,0,HOLD,,66293.53,,,,,0.0,0.0,0.0,0.0,4,788.31,1005.54,1006.77,-0.12,4.39,12,0.55,HIGH_VOL,
BTC/USDT,2026-02-19 17:00:00,HOLD,0.5022900104522705,66369.42,1.0,1.0,True,0,HOLD,,66369.42,,,,,0.0,0.0,0.0,0.0,4,788.31,1005.29,1006.77,-0.15,4.39,12,0.53,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,LONG,0.5758540034294128,67030.49,1.0,1.0,True,13,STOP_LOSS,SHORT,66966.12,67030.49,2026-02-19 08:00:00,2026-02-19 18:00:00,10.0,97.41,-0.0961,-0.29,0.0972,1,926.86,1002.87,1006.77,-0.39,4.11,13,0.29,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,LONG,0.5758540034294128,67030.49,1.0,1.0,True,14,STOP_LOSS,SHORT,66836.0,67030.49,2026-02-19 09:00:00,2026-02-19 18:00:00,9.0,40.08,-0.291,-0.2,0.0399,1,926.86,1002.87,1006.77,-0.39,3.91,14,0.29,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,LONG,0.5758540034294128,67030.49,1.0,1.0,True,15,STOP_LOSS,SHORT,66843.08,67030.49,2026-02-19 10:00:00,2026-02-19 18:00:00,8.0,36.72,-0.2804,-0.18,0.0366,1,926.86,1002.87,1006.77,-0.39,3.73,15,0.29,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,LONG,0.5758540034294128,67030.49,1.0,1.0,True,16,STOP_LOSS,SHORT,65913.37,67030.49,2026-02-19 13:00:00,2026-02-19 18:00:00,5.0,41.86,-1.6948,-0.79,0.0411,1,926.86,1002.87,1006.77,-0.39,2.94,16,0.29,HIGH_VOL,
BTC/USDT,2026-02-19 18:00:00,LONG,0.5758540034294128,67030.49,1.0,1.0,True,17,OPEN,LONG,67030.49,,2026-02-19 18:00:00,,,76.08,0.0,0.0,0.0,1,926.86,1002.87,1006.77,-0.39,2.94,16,0.29,HIGH_VOL,
BTC/USDT,2026-02-19 19:00:00,LONG,0.5954509973526001,67050.0,1.0,1.0,True,18,OPEN,LONG,67050.0,,2026-02-19 19:00:00,,,88.47,0.0,0.0,0.0,2,838.39,1002.8,1006.77,-0.39,2.94,16,0.28,HIGH_VOL,
BTC/USDT,2026-02-19 20:00:00,LONG,0.5918110013008118,67149.11,1.0,0.0,False,19,OPEN,LONG,67149.11,,2026-02-19 20:00:00,,,76.97,0.0,0.0,0.0,3,761.42,1002.96,1006.77,-0.38,2.94,16,0.3,HIGH_VOL,
BTC/USDT,2026-02-19 21:00:00,HOLD,0.5232399702072144,66916.51,1.0,0.0,False,0,HOLD,,66916.51,,,,,0.0,0.0,0.0,0.0,3,761.42,1002.13,1006.77,-0.46,2.94,16,0.21,HIGH_VOL,
BTC/USDT,2026-02-19 22:00:00,HOLD,0.5249980092048645,66915.14,1.0,1.0,True,0,HOLD,,66915.14,,,,,0.0,0.0,0.0,0.0,3,761.42,1002.12,1006.77,-0.46,2.94,16,0.21,HIGH_VOL,
BTC/USDT,2026-02-19 23:00:00,HOLD,0.4795689880847931,67003.73,0.0,1.0,False,0,HOLD,,67003.73,,,,,0.0,0.0,0.0,0.0,3,761.42,1002.44,1006.77,-0.43,2.94,16,0.24,HIGH_VOL,
BTC/USDT,2026-02-20 00:00:00,HOLD,0.5264800190925598,67228.91,1.0,1.0,True,0,HOLD,,67228.91,,,,,0.0,0.0,0.0,0.0,3,761.42,1003.25,1006.77,-0.35,2.94,16,0.33,HIGH_VOL,
BTC/USDT,2026-02-20 01:00:00,HOLD,0.5112320184707642,67279.9,1.0,0.0,False,0,HOLD,,67279.9,,,,,0.0,0.0,0.0,0.0,3,761.42,1003.44,1006.77,-0.33,2.94,16,0.34,HIGH_VOL,
BTC/USDT,2026-02-20 02:00:00,HOLD,0.485042005777359,67242.03,0.0,1.0,False,0,HOLD,,67242.03,,,,,0.0,0.0,0.0,0.0,3,761.42,1003.3,1006.77,-0.34,2.94,16,0.33,HIGH_VOL,
BTC/USDT,2026-02-20 03:00:00,HOLD,0.5233700275421143,67366.25,1.0,0.0,False,0,HOLD,,67366.25,,,,,0.0,0.0,0.0,0.0,3,761.42,1003.75,1006.77,-0.3,2.94,16,0.37,HIGH_VOL,
BTC/USDT,2026-02-20 04:00:00,HOLD,0.5182679891586304,67264.83,1.0,1.0,True,0,HOLD,,67264.83,,,,,0.0,0.0,0.0,0.0,3,761.42,1003.38,1006.77,-0.34,2.94,16,0.34,HIGH_VOL,
BTC/USDT,2026-02-20 05:00:00,HOLD,0.5159400105476379,67790.1,1.0,1.0,True,0,HOLD,,67790.1,,,,,0.0,0.0,0.0,0.0,3,761.42,1005.27,1006.77,-0.15,2.94,16,0.53,HIGH_VOL,
BTC/USDT,2026-02-20 06:00:00,HOLD,0.5349360108375549,67847.47,1.0,0.0,False,0,HOLD,,67847.47,,,,,0.0,0.0,0.0,0.0,3,761.42,1005.48,1006.77,-0.13,2.94,16,0.55,HIGH_VOL,
BTC/USDT,2026-02-20 07:00:00,HOLD,0.5202040076255798,67825.91,1.0,1.0,True,0,HOLD,,67825.91,,,,,0.0,0.0,0.0,0.0,3,761.42,1005.4,1006.77,-0.14,2.94,16,0.54,HIGH_VOL,
BTC/USDT,2026-02-20 08:00:00,HOLD,0.49256399273872375,67879.99,0.0,1.0,False,0,HOLD,,67879.99,,,,,0.0,0.0,0.0,0.0,3,761.42,1005.59,1006.77,-0.12,2.94,16,0.56,HIGH_VOL,
BTC/USDT,2026-02-20 09:00:00,HOLD,0.4927830100059509,68218.85,0.0,0.0,True,0,HOLD,,68218.85,,,,,0.0,0.0,0.0,0.0,3,761.42,1006.81,1006.81,0.0,2.94,16,0.68,HIGH_VOL,
BTC/USDT,2026-02-20 10:00:00,HOLD,0.4908219873905182,67948.99,0.0,0.0,True,0,HOLD,,67948.99,,,,,0.0,0.0,0.0,0.0,3,761.42,1005.84,1006.81,-0.1,2.94,16,0.58,HIGH_VOL,
BTC/USDT,2026-02-20 11:00:00,HOLD,0.4735099971294403,67318.41,0.0,1.0,False,0,HOLD,,67318.41,,,,,0.0,0.0,0.0,0.0,3,761.42,1003.57,1006.81,-0.32,2.94,16,0.36,HIGH_VOL,
BTC/USDT,2026-02-20 12:00:00,SHORT,0.4470070004463196,67541.77,0.0,0.0,True,17,CLOSE,LONG,67030.49,67541.77,2026-02-19 18:00:00,2026-02-20 12:00:00,18.0,76.08,0.7628,0.43,0.0766,1,950.92,1004.08,1006.81,-0.27,3.37,17,0.41,HIGH_VOL,
BTC/USDT,2026-02-20 12:00:00,SHORT,0.4470070004463196,67541.77,0.0,0.0,True,18,CLOSE,LONG,67050.0,67541.77,2026-02-19 19:00:00,2026-02-20 12:00:00,17.0,88.47,0.7334,0.47,0.089,1,950.92,1004.08,1006.81,-0.27,3.84,18,0.41,HIGH_VOL,
BTC/USDT,2026-02-20 12:00:00,SHORT,0.4470070004463196,67541.77,0.0,0.0,True,19,CLOSE,LONG,67149.11,67541.77,2026-02-19 20:00:00,2026-02-20 12:00:00,16.0,76.97,0.5848,0.3,0.0773,1,950.92,1004.08,1006.81,-0.27,4.13,19,0.41,HIGH_VOL,
BTC/USDT,2026-02-20 12:00:00,SHORT,0.4470070004463196,67541.77,0.0,0.0,True,20,OPEN,SHORT,67541.77,,2026-02-20 12:00:00,,,53.21,0.0,0.0,0.0,1,950.92,1004.08,1006.81,-0.27,4.13,19,0.41,HIGH_VOL,
BTC/USDT,2026-02-20 13:00:00,HOLD,0.5139920115470886,66801.62,1.0,1.0,True,0,HOLD,,66801.62,,,,,0.0,0.0,0.0,0.0,1,950.92,1004.66,1006.81,-0.21,4.13,19,0.47,HIGH_VOL,
BTC/USDT,2026-02-20 14:00:00,HOLD,0.5024340152740479,67069.65,1.0,1.0,True,0,HOLD,,67069.65,,,,,0.0,0.0,0.0,0.0,1,950.92,1004.45,1006.81,-0.23,4.13,19,0.45,HIGH_VOL,
BTC/USDT,2026-02-20 15:00:00,HOLD,0.5141350030899048,67582.95,1.0,1.0,True,20,STOP_LOSS,SHORT,67541.77,67582.95,2026-02-20 12:00:00,2026-02-20 15:00:00,3.0,53.21,-0.061,-0.14,0.0531,0,1004.0,1004.0,1006.81,-0.28,4.0,20,0.4,HIGH_VOL,
BTC/USDT,2026-02-20 16:00:00,SHORT,0.3935379981994629,67795.47,0.0,0.0,True,21,OPEN,SHORT,67795.47,,2026-02-20 16:00:00,,,106.89,0.0,0.0,0.0,1,897.11,1003.89,1006.81,-0.29,4.0,20,0.39,HIGH_VOL,
BTC/USDT,2026-02-20 17:00:00,HOLD,0.4848819971084595,67613.37,0.0,1.0,False,0,HOLD,,67613.37,,,,,0.0,0.0,0.0,0.0,1,897.11,1004.18,1006.81,-0.26,4.0,20,0.42,HIGH_VOL,
BTC/USDT,2026-02-20 18:00:00,HOLD,0.5024830102920532,67924.21,1.0,0.0,False,0,HOLD,,67924.21,,,,,0.0,0.0,0.0,0.0,1,897.11,1003.69,1006.81,-0.31,4.0,20,0.37,HIGH_VOL,
BTC/USDT,2026-02-20 19:00:00,HOLD,0.4950670003890991,67646.03,0.0,1.0,False,0,HOLD,,67646.03,,,,,0.0,0.0,0.0,0.0,1,897.11,1004.12,1006.81,-0.27,4.0,20,0.41,HIGH_VOL,
BTC/USDT,2026-02-20 20:00:00,SHORT,0.3143329918384552,67750.4,0.0,1.0,False,22,OPEN,SHORT,67750.4,,2026-02-20 20:00:00,,,166.56,0.0,0.0,0.0,2,730.54,1003.79,1006.81,-0.3,4.0,20,0.38,HIGH_VOL,
BTC/USDT,2026-02-20 21:00:00,SHORT,0.42324501276016235,67825.87,0.0,1.0,False,23,OPEN,SHORT,67825.87,,2026-02-20 21:00:00,,,56.07,0.0,0.0,0.0,3,674.47,1003.43,1006.81,-0.34,4.0,20,0.34,HIGH_VOL,
BTC/USDT,2026-02-20 22:00:00,SHORT,0.431863009929657,68078.13,0.0,0.0,True,24,OPEN,SHORT,68078.13,,2026-02-20 22:00:00,,,45.96,0.0,0.0,0.0,4,628.51,1002.16,1006.81,-0.46,4.0,20,0.22,HIGH_VOL,
BTC/USDT,2026-02-20 23:00:00,SHORT,0.3932589888572693,68020.01,0.0,0.0,True,25,OPEN,SHORT,68020.01,,2026-02-20 23:00:00,,,67.09,0.0,0.0,0.0,5,561.43,1002.42,1006.81,-0.44,4.0,20,0.24,HIGH_VOL,
BTC/USDT,2026-02-21 00:00:00,SHORT,0.40816500782966614,67841.0,0.0,1.0,False,26,OPEN,SHORT,67841.0,,2026-02-21 00:00:00,,,51.56,0.0,0.0,0.0,6,509.87,1003.53,1006.81,-0.33,4.0,20,0.35,HIGH_VOL,
