symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2026-02-18 06:00:00,HOLD,0.5182309746742249,67850.52,1.0,1.0,True,0,HOLD,,67850.52,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0,HIGH_VOL,
BTC/USDT,2026-02-18 07:00:00,SHORT,0.3738059997558594,68106.44,0.0,1.0,False,1,OPEN,SHORT,68106.44,,2026-02-18 07:00:00,,,126.19,0.0,0.0,0.0,1,873.81,999.87,1000.0,-0.01,0.0,0,-0.01,HIGH_VOL,
BTC/USDT,2026-02-18 08:00:00,LONG,0.6637380123138428,68132.82,1.0,1.0,True,1,CLOSE,SHORT,68106.44,68132.82,2026-02-18 07:00:00,2026-02-18 08:00:00,1.0,126.19,-0.0387,-0.3,0.126,1,836.01,999.54,1000.0,-0.05,-0.3,1,-0.05,HIGH_VOL,
BTC/USDT,2026-02-18 08:00:00,LONG,0.6637380123138428,68132.82,1.0,1.0,True,2,OPEN,LONG,68132.82,,2026-02-18 08:00:00,,,163.69,0.0,0.0,0.0,1,836.01,999.54,1000.0,-0.05,-0.3,1,-0.05,HIGH_VOL,
BTC/USDT,2026-02-18 09:00:00,SHORT,0.33640798926353455,68157.79,0.0,0.0,True,2,CLOSE,LONG,68132.82,68157.79,2026-02-18 08:00:00,2026-02-18 09:00:00,1.0,163.69,0.0366,-0.27,0.1636,1,835.93,999.27,1000.0,-0.07,-0.57,2,-0.07,HIGH_VOL,
BTC/USDT,2026-02-18 09:00:00,SHORT,0.33640798926353455,68157.79,0.0,0.0,True,3,OPEN,SHORT,68157.79,,2026-02-18 09:00:00,,,163.5,0.0,0.0,0.0,1,835.93,999.27,1000.0,-0.07,-0.57,2,-0.07,HIGH_VOL,
BTC/USDT,2026-02-18 10:00:00,HOLD,0.48156699538230896,67801.26,0.0,0.0,True,0,HOLD,,67801.26,,,,,0.0,0.0,0.0,0.0,1,835.93,1000.12,1000.12,0.0,-0.57,2,0.01,HIGH_VOL,
BTC/USDT,2026-02-18 11:00:00,HOLD,0.4836840033531189,67369.75,0.0,1.0,False,0,HOLD,,67369.75,,,,,0.0,0.0,0.0,0.0,1,835.93,1001.16,1001.16,0.0,-0.57,2,0.12,HIGH_VOL,
BTC/USDT,2026-02-18 12:00:00,HOLD,0.5702660083770752,67458.06,1.0,0.0,False,0,HOLD,,67458.06,,,,,0.0,0.0,0.0,0.0,1,835.93,1000.94,1001.16,-0.02,-0.57,2,0.09,HIGH_VOL,
BTC/USDT,2026-02-18 13:00:00,SHORT,0.3860979974269867,67236.88,0.0,0.0,True,4,OPEN,SHORT,67236.88,,2026-02-18 13:00:00,,,95.21,0.0,0.0,0.0,2,740.72,1001.38,1001.38,0.0,-0.57,2,0.14,HIGH_VOL,
