symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct,regime,regime_conf
BTC/USDT,2025-12-17 18:00:00,LONG,0.6640049815177917,85829.22,1.0,1.0,True,1,OPEN,LONG,85829.22,,2025-12-17 18:00:00,,,164.0,0.0,0.0,0.0,1,836.0,999.84,1000.0,-0.02,0.0,0,-0.02,HIGH_VOL,
BTC/USDT,2025-12-17 19:00:00,LONG,0.5915250182151794,86018.53,1.0,0.0,False,2,OPEN,LONG,86018.53,,2025-12-17 19:00:00,,,76.51,0.0,0.0,0.0,2,759.48,1000.12,1000.12,0.0,0.0,0,0.01,HIGH_VOL,
BTC/USDT,2025-12-17 20:00:00,LONG,0.6100969910621643,85891.18,1.0,1.0,True,3,OPEN,LONG,85891.18,,2025-12-17 20:00:00,,,83.62,0.0,0.0,0.0,3,675.86,999.68,1000.12,-0.04,0.0,0,-0.03,HIGH_VOL,
BTC/USDT,2025-12-17 21:00:00,HOLD,0.5544450283050537,85982.88,1.0,1.0,True,0,HOLD,,85982.88,,,,,0.0,0.0,0.0,0.0,3,675.86,1000.03,1000.12,-0.01,0.0,0,0.0,HIGH_VOL,
BTC/USDT,2025-12-17 22:00:00,HOLD,0.4691239893436432,86339.09,0.0,0.0,True,0,HOLD,,86339.09,,,,,0.0,0.0,0.0,0.0,3,675.86,1001.37,1001.37,0.0,0.0,0,0.14,HIGH_VOL,
BTC/USDT,2025-12-17 23:00:00,HOLD,0.5227050185203552,86243.22,1.0,0.0,False,0,HOLD,,86243.22,,,,,0.0,0.0,0.0,0.0,3,675.86,1001.01,1001.37,-0.04,0.0,0,0.1,HIGH_VOL,
BTC/USDT,2025-12-18 00:00:00,HOLD,0.5320810079574585,86230.74,1.0,0.0,False,0,HOLD,,86230.74,,,,,0.0,0.0,0.0,0.0,3,675.86,1000.96,1001.37,-0.04,0.0,0,0.1,HIGH_VOL,
BTC/USDT,2025-12-18 01:00:00,HOLD,0.5619879961013794,86119.21,1.0,1.0,True,0,HOLD,,86119.21,,,,,0.0,0.0,0.0,0.0,3,675.86,1000.54,1001.37,-0.08,0.0,0,0.05,HIGH_VOL,
BTC/USDT,2025-12-18 02:00:00,HOLD,0.47846901416778564,86699.64,0.0,0.0,True,0,HOLD,,86699.64,,,,,0.0,0.0,0.0,0.0,3,675.86,1002.73,1002.73,0.0,0.0,0,0.27,HIGH_VOL,
BTC/USDT,2025-12-18 03:00:00,HOLD,0.5237029790878296,86618.34,1.0,1.0,True,0,HOLD,,86618.34,,,,,0.0,0.0,0.0,0.0,3,675.86,1002.42,1002.73,-0.03,0.0,0,0.24,HIGH_VOL,
BTC/USDT,2025-12-18 04:00:00,LONG,0.5735369920730591,86765.43,1.0,0.0,False,4,OPEN,LONG,86765.43,,2025-12-18 04:00:00,,,49.7,0.0,0.0,0.0,4,626.16,1002.93,1002.93,0.0,0.0,0,0.29,HIGH_VOL,
BTC/USDT,2025-12-18 05:00:00,HOLD,0.5365920066833496,86440.9,1.0,1.0,True,0,HOLD,,86440.9,,,,,0.0,0.0,0.0,0.0,4,626.16,1001.52,1002.93,-0.14,0.0,0,0.15,HIGH_VOL,
BTC/USDT,2025-12-18 06:00:00,HOLD,0.5458030104637146,86645.93,1.0,1.0,True,0,HOLD,,86645.93,,,,,0.0,0.0,0.0,0.0,4,626.16,1002.41,1002.93,-0.05,0.0,0,0.24,HIGH_VOL,
BTC/USDT,2025-12-18 07:00:00,HOLD,0.5222259759902954,86833.84,1.0,1.0,True,0,HOLD,,86833.84,,,,,0.0,0.0,0.0,0.0,4,626.16,1003.22,1003.22,0.0,0.0,0,0.32,HIGH_VOL,
BTC/USDT,2025-12-18 08:00:00,HOLD,0.5365489721298218,86978.98,1.0,1.0,True,0,HOLD,,86978.98,,,,,0.0,0.0,0.0,0.0,4,626.16,1003.85,1003.85,0.0,0.0,0,0.39,HIGH_VOL,
BTC/USDT,2025-12-18 09:00:00,HOLD,0.4971039891242981,87280.95,0.0,1.0,False,0,HOLD,,87280.95,,,,,0.0,0.0,0.0,0.0,4,626.16,1005.17,1005.17,0.0,0.0,0,0.52,HIGH_VOL,
BTC/USDT,2025-12-18 10:00:00,HOLD,0.5026130080223083,87341.95,1.0,0.0,False,0,HOLD,,87341.95,,,,,0.0,0.0,0.0,0.0,4,626.16,1005.43,1005.43,0.0,0.0,0,0.54,HIGH_VOL,
BTC/USDT,2025-12-18 11:00:00,HOLD,0.46826499700546265,87300.74,0.0,0.0,True,0,HOLD,,87300.74,,,,,0.0,0.0,0.0,0.0,4,626.16,1005.25,1005.43,-0.02,0.0,0,0.53,HIGH_VOL,
BTC/USDT,2025-12-18 12:00:00,HOLD,0.48892998695373535,87259.99,0.0,1.0,False,0,HOLD,,87259.99,,,,,0.0,0.0,0.0,0.0,4,626.16,1005.07,1005.43,-0.04,0.0,0,0.51,HIGH_VOL,
BTC/USDT,2025-12-18 13:00:00,SHORT,0.4590449929237366,88851.7,0.0,0.0,True,1,CLOSE,LONG,85829.22,88851.7,2025-12-17 18:00:00,2025-12-18 13:00:00,19.0,164.0,3.5215,5.44,0.1696,1,970.17,1011.56,1011.56,0.0,5.44,1,1.16,HIGH_VOL,
BTC/USDT,2025-12-18 13:00:00,SHORT,0.4590449929237366,88851.7,0.0,0.0,True,2,CLOSE,LONG,86018.53,88851.7,2025-12-17 19:00:00,2025-12-18 13:00:00,18.0,76.51,3.2937,2.36,0.079,1,970.17,1011.56,1011.56,0.0,7.8,2,1.16,HIGH_VOL,
BTC/USDT,2025-12-18 13:00:00,SHORT,0.4590449929237366,88851.7,0.0,0.0,True,3,CLOSE,LONG,85891.18,88851.7,2025-12-17 20:00:00,2025-12-18 13:00:00,17.0,83.62,3.4468,2.71,0.0864,1,970.17,1011.56,1011.56,0.0,10.51,3,1.16,HIGH_VOL,
BTC/USDT,2025-12-18 13:00:00,SHORT,0.4590449929237366,88851.7,0.0,0.0,True,4,CLOSE,LONG,86765.43,88851.7,2025-12-18 04:00:00,2025-12-18 13:00:00,9.0,49.7,2.4045,1.09,0.0508,1,970.17,1011.56,1011.56,0.0,11.6,4,1.16,HIGH_VOL,
BTC/USDT,2025-12-18 13:00:00,SHORT,0.4590449929237366,88851.7,0.0,0.0,True,5,OPEN,SHORT,88851.7,,2025-12-18 13:00:00,,,41.43,0.0,0.0,0.0,1,970.17,1011.56,1011.56,0.0,11.6,4,1.16,HIGH_VOL,
BTC/USDT,2025-12-18 14:00:00,HOLD,0.5365039706230164,88345.2,1.0,1.0,True,0,HOLD,,88345.2,,,,,0.0,0.0,0.0,0.0,1,970.17,1011.8,1011.8,0.0,11.6,4,1.18,HIGH_VOL,
BTC/USDT,2025-12-18 15:00:00,HOLD,0.4922269880771637,88513.44,0.0,0.0,True,0,HOLD,,88513.44,,,,,0.0,0.0,0.0,0.0,1,970.17,1011.72,1011.8,-0.01,11.6,4,1.17,HIGH_VOL,
BTC/USDT,2025-12-18 16:00:00,HOLD,0.5352630019187927,88014.0,1.0,0.0,False,0,HOLD,,88014.0,,,,,0.0,0.0,0.0,0.0,1,970.17,1011.95,1011.95,0.0,11.6,4,1.19,HIGH_VOL,
BTC/USDT,2025-12-18 17:00:00,LONG,0.6098150014877319,86483.56,1.0,0.0,False,5,TAKE_PROFIT,SHORT,88851.7,86483.56,2025-12-18 13:00:00,2025-12-18 17:00:00,4.0,41.43,2.6653,1.02,0.0425,1,901.42,1012.51,1012.51,0.0,12.62,5,1.25,HIGH_VOL,
BTC/USDT,2025-12-18 17:00:00,LONG,0.6098150014877319,86483.56,1.0,0.0,False,6,OPEN,LONG,86483.56,,2025-12-18 17:00:00,,,111.2,0.0,0.0,0.0,1,901.42,1012.51,1012.51,0.0,12.62,5,1.25,HIGH_VOL,
BTC/USDT,2025-12-18 18:00:00,LONG,0.6070500016212463,85970.0,1.0,0.0,False,7,OPEN,LONG,85970.0,,2025-12-18 18:00:00,,,96.5,0.0,0.0,0.0,2,804.92,1011.75,1012.51,-0.07,12.62,5,1.18,HIGH_VOL,
BTC/USDT,2025-12-18 19:00:00,LONG,0.7188420295715332,84483.79,1.0,1.0,True,6,STOP_LOSS,LONG,86483.56,84483.79,2025-12-18 17:00:00,2025-12-18 19:00:00,2.0,111.2,-2.3123,-2.79,0.1085,2,713.46,1007.87,1012.51,-0.46,9.83,6,0.79,HIGH_VOL,
BTC/USDT,2025-12-18 19:00:00,LONG,0.7188420295715332,84483.79,1.0,1.0,True,8,OPEN,LONG,84483.79,,2025-12-18 19:00:00,,,199.88,0.0,0.0,0.0,2,713.46,1007.87,1012.51,-0.46,9.83,6,0.79,HIGH_VOL,
BTC/USDT,2025-12-18 20:00:00,LONG,0.5973659753799438,84582.65,1.0,1.0,True,9,OPEN,LONG,84582.65,,2025-12-18 20:00:00,,,69.47,0.0,0.0,0.0,3,643.99,1008.14,1012.51,-0.43,9.83,6,0.81,HIGH_VOL,
BTC/USDT,2025-12-18 21:00:00,HOLD,0.49198800325393677,85630.95,0.0,0.0,True,0,HOLD,,85630.95,,,,,0.0,0.0,0.0,0.0,3,643.99,1012.66,1012.66,0.0,9.83,6,1.27,HIGH_VOL,
BTC/USDT,2025-12-18 22:00:00,HOLD,0.5236210227012634,85582.88,1.0,0.0,False,0,HOLD,,85582.88,,,,,0.0,0.0,0.0,0.0,3,643.99,1012.45,1012.66,-0.02,9.83,6,1.24,HIGH_VOL,
BTC/USDT,2025-12-18 23:00:00,SHORT,0.4591889977455139,85516.41,0.0,1.0,False,7,CLOSE,LONG,85970.0,85516.41,2025-12-18 18:00:00,2025-12-18 23:00:00,5.0,96.5,-0.5276,-0.7,0.0959,1,970.5,1011.75,1012.66,-0.09,9.13,7,1.18,HIGH_VOL,
BTC/USDT,2025-12-18 23:00:00,SHORT,0.4591889977455139,85516.41,0.0,1.0,False,8,CLOSE,LONG,84483.79,85516.41,2025-12-18 19:00:00,2025-12-18 23:00:00,4.0,199.88,1.2223,2.04,0.2021,1,970.5,1011.75,1012.66,-0.09,11.17,8,1.18,HIGH_VOL,
BTC/USDT,2025-12-18 23:00:00,SHORT,0.4591889977455139,85516.41,0.0,1.0,False,9,CLOSE,LONG,84582.65,85516.41,2025-12-18 20:00:00,2025-12-18 23:00:00,3.0,69.47,1.104,0.63,0.0702,1,970.5,1011.75,1012.66,-0.09,11.8,9,1.18,HIGH_VOL,
BTC/USDT,2025-12-18 23:00:00,SHORT,0.4591889977455139,85516.41,0.0,1.0,False,10,OPEN,SHORT,85516.41,,2025-12-18 23:00:00,,,41.29,0.0,0.0,0.0,1,970.5,1011.75,1012.66,-0.09,11.8,9,1.18,HIGH_VOL,
BTC/USDT,2025-12-19 00:00:00,HOLD,0.5375139713287354,85604.88,1.0,0.0,False,0,HOLD,,85604.88,,,,,0.0,0.0,0.0,0.0,1,970.5,1011.71,1012.66,-0.09,11.8,9,1.17,HIGH_VOL,
